epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.756,3.6214,2.75142,1.9698,0.52906,0.1251,0.13761,0.05776,2.26537,1.59769,1.37043,0.0700267,0.00333037,0.00333037
2,255.676,1.97336,1.4461,1.19459,0.24097,0.26171,0.26692,0.14767,1.54731,1.13334,1.09406,0.0399937,0.00663072,0.00663072
3,369.764,1.63744,1.1985,1.07811,0.66898,0.29006,0.31481,0.18707,1.4115,1.04118,1.05007,0.0099277,0.00989807,0.00989807
4,480.866,1.48941,1.08152,1.03376,0.27537,0.44909,0.3575,0.22145,1.32122,0.99015,1.02049,0.0098515,0.0098515,0.0098515
5,594.358,1.39269,1.0075,1.00582,0.32417,0.49057,0.3989,0.2551,1.27358,0.89095,1.0079,0.009802,0.009802,0.009802
6,705.742,1.34404,0.9694,0.98976,0.37733,0.54199,0.45087,0.29032,1.23909,0.85394,1.00169,0.0097525,0.0097525,0.0097525
7,818.573,1.31116,0.92425,0.97744,0.41219,0.54507,0.47936,0.31028,1.22683,0.82093,0.99601,0.009703,0.009703,0.009703
8,930.223,1.28425,0.89222,0.96745,0.47131,0.55607,0.50955,0.33238,1.2142,0.79959,0.99417,0.0096535,0.0096535,0.0096535
9,1042.26,1.26534,0.86904,0.9639,0.50835,0.57229,0.54342,0.36254,1.20226,0.7828,0.99122,0.009604,0.009604,0.009604
10,1153.53,1.25562,0.86348,0.96457,0.53187,0.5845,0.55577,0.37195,1.18995,0.76754,0.99181,0.0095545,0.0095545,0.0095545
11,1266.21,1.24392,0.84235,0.95855,0.52654,0.60416,0.57417,0.38282,1.18446,0.74517,0.98933,0.009505,0.009505,0.009505
12,1379.71,1.23392,0.81781,0.95447,0.54249,0.59588,0.57756,0.38698,1.1751,0.75059,0.98868,0.0094555,0.0094555,0.0094555
13,1491.82,1.22389,0.81436,0.95719,0.54463,0.6096,0.59189,0.39666,1.16724,0.73576,0.98652,0.009406,0.009406,0.009406
14,1602.93,1.21863,0.80536,0.95254,0.53991,0.63284,0.59384,0.40238,1.16289,0.72256,0.98667,0.0093565,0.0093565,0.0093565
15,1714.54,1.21174,0.7959,0.9521,0.5666,0.62921,0.61333,0.41842,1.15602,0.71775,0.98471,0.009307,0.009307,0.009307
16,1826.34,1.2038,0.78933,0.9478,0.56918,0.63893,0.61653,0.41977,1.15216,0.71682,0.98558,0.0092575,0.0092575,0.0092575
17,1938.79,1.20287,0.79169,0.94672,0.58924,0.63453,0.62794,0.42947,1.14654,0.70659,0.98366,0.009208,0.009208,0.009208
18,2049.19,1.19235,0.76977,0.94357,0.57704,0.64999,0.63712,0.43686,1.14326,0.69668,0.98533,0.0091585,0.0091585,0.0091585
19,2161.03,1.18651,0.7712,0.94558,0.60375,0.65238,0.64466,0.44388,1.14277,0.68974,0.98399,0.009109,0.009109,0.009109
20,2272.47,1.18698,0.76803,0.94174,0.62416,0.6281,0.64752,0.44442,1.13942,0.69213,0.98369,0.0090595,0.0090595,0.0090595
21,2385.54,1.18184,0.75842,0.94001,0.61562,0.64589,0.65346,0.45046,1.13615,0.68488,0.98458,0.00901,0.00901,0.00901
22,2498.75,1.18266,0.7654,0.94174,0.62774,0.65166,0.66167,0.45785,1.12931,0.68185,0.98155,0.0089605,0.0089605,0.0089605
23,2611.25,1.16767,0.75124,0.93746,0.61871,0.64878,0.66078,0.45638,1.1293,0.67923,0.98173,0.008911,0.008911,0.008911
24,2722.33,1.16895,0.74952,0.93651,0.63858,0.6512,0.66608,0.46326,1.12643,0.67326,0.98232,0.0088615,0.0088615,0.0088615
25,2833.68,1.16447,0.74067,0.9362,0.64294,0.63949,0.66667,0.46355,1.12347,0.67044,0.98272,0.008812,0.008812,0.008812
26,2946.33,1.15369,0.73553,0.93145,0.62962,0.65898,0.66889,0.46588,1.12437,0.66601,0.98241,0.0087625,0.0087625,0.0087625
27,3058.74,1.15517,0.73545,0.93543,0.65457,0.6652,0.67999,0.47268,1.11972,0.66091,0.98055,0.008713,0.008713,0.008713
28,3172.87,1.15212,0.73255,0.93199,0.6598,0.66055,0.68509,0.47816,1.11779,0.65836,0.98179,0.0086635,0.0086635,0.0086635
29,3286.64,1.15422,0.73115,0.93241,0.66363,0.65138,0.68776,0.48102,1.11818,0.65802,0.98178,0.008614,0.008614,0.008614
30,3397.56,1.15181,0.72572,0.93224,0.64908,0.66311,0.68773,0.48249,1.11418,0.65434,0.97986,0.0085645,0.0085645,0.0085645
31,3509.94,1.1549,0.72732,0.93384,0.65118,0.66468,0.69019,0.48345,1.11254,0.65309,0.98053,0.008515,0.008515,0.008515
32,3621.24,1.14773,0.72129,0.93235,0.65761,0.671,0.69223,0.48822,1.10907,0.64976,0.98023,0.0084655,0.0084655,0.0084655
33,3736.91,1.14643,0.71773,0.92997,0.65521,0.67027,0.69434,0.48858,1.11013,0.64692,0.98028,0.008416,0.008416,0.008416
34,3849.14,1.1418,0.71307,0.92819,0.64546,0.68323,0.69909,0.49242,1.10876,0.64489,0.98009,0.0083665,0.0083665,0.0083665
35,3963.93,1.14007,0.71034,0.9281,0.6594,0.67664,0.70172,0.49467,1.10723,0.64262,0.98114,0.008317,0.008317,0.008317
36,4075.33,1.1336,0.70455,0.92792,0.66475,0.67709,0.70069,0.49564,1.10612,0.6422,0.98108,0.0082675,0.0082675,0.0082675
37,4187.75,1.13082,0.70155,0.92572,0.66305,0.67407,0.70162,0.49623,1.10562,0.64112,0.98077,0.008218,0.008218,0.008218
38,4298.87,1.13236,0.70246,0.92781,0.66262,0.68142,0.70631,0.49941,1.10413,0.63918,0.9806,0.0081685,0.0081685,0.0081685
39,4416.25,1.12692,0.69955,0.92585,0.66266,0.68889,0.70915,0.50154,1.10239,0.6358,0.98029,0.008119,0.008119,0.008119
40,4532.45,1.13641,0.71082,0.92876,0.66126,0.68249,0.70845,0.50199,1.10151,0.63578,0.98011,0.0080695,0.0080695,0.0080695
41,4644.17,1.12679,0.69562,0.9245,0.66598,0.68216,0.70728,0.50145,1.10166,0.63324,0.98045,0.00802,0.00802,0.00802
42,4756.03,1.12649,0.69437,0.92654,0.66581,0.6879,0.70909,0.50237,1.10015,0.63224,0.98062,0.0079705,0.0079705,0.0079705
43,4868.9,1.12248,0.69292,0.9225,0.66953,0.68735,0.7105,0.50371,1.10039,0.63063,0.98086,0.007921,0.007921,0.007921
44,4980.73,1.12146,0.69027,0.92476,0.66789,0.69117,0.71103,0.50564,1.09979,0.62966,0.98035,0.0078715,0.0078715,0.0078715
45,5094.32,1.12113,0.68684,0.92344,0.67663,0.68787,0.71374,0.50715,1.09827,0.62847,0.9801,0.007822,0.007822,0.007822
46,5205.45,1.1227,0.69658,0.92573,0.67646,0.69317,0.71277,0.50751,1.09725,0.62817,0.97969,0.0077725,0.0077725,0.0077725
47,5316.46,1.1226,0.68901,0.92394,0.67857,0.69582,0.71428,0.50938,1.09682,0.62724,0.9798,0.007723,0.007723,0.007723
48,5427.37,1.12124,0.68546,0.92531,0.67875,0.69796,0.71455,0.50971,1.09664,0.62648,0.98006,0.0076735,0.0076735,0.0076735
49,5542.54,1.11948,0.68351,0.92438,0.68326,0.69296,0.7147,0.50945,1.09562,0.62571,0.97988,0.007624,0.007624,0.007624
50,5658.3,1.10842,0.67504,0.92155,0.67615,0.69684,0.71455,0.50974,1.09547,0.62531,0.9799,0.0075745,0.0075745,0.0075745
51,5770.4,1.11197,0.67965,0.92301,0.677,0.69633,0.71467,0.50985,1.09499,0.62479,0.97996,0.007525,0.007525,0.007525
52,5882.02,1.11043,0.68291,0.9218,0.68282,0.69415,0.71511,0.5103,1.09479,0.62414,0.97984,0.0074755,0.0074755,0.0074755
53,5993.44,1.10441,0.67646,0.91945,0.68837,0.69319,0.71602,0.51079,1.09439,0.62339,0.97976,0.007426,0.007426,0.007426
54,6104.75,1.10983,0.68069,0.92165,0.68421,0.69648,0.71683,0.51148,1.09389,0.62262,0.97976,0.0073765,0.0073765,0.0073765
55,6216.81,1.10545,0.67588,0.92044,0.68437,0.69525,0.71692,0.51151,1.09348,0.62187,0.97981,0.007327,0.007327,0.007327
56,6328.31,1.10222,0.66912,0.91974,0.68552,0.69719,0.71813,0.51233,1.0933,0.62128,0.97975,0.0072775,0.0072775,0.0072775
57,6439.75,1.10439,0.67057,0.91887,0.6896,0.69644,0.71945,0.51353,1.0931,0.62031,0.97982,0.007228,0.007228,0.007228
58,6551.13,1.10206,0.66968,0.91838,0.68952,0.69649,0.72006,0.51384,1.09304,0.61996,0.97988,0.0071785,0.0071785,0.0071785
59,6663.09,1.11373,0.66917,0.92067,0.69049,0.69697,0.72126,0.51487,1.09274,0.61938,0.9799,0.007129,0.007129,0.007129
60,6774.43,1.10027,0.67233,0.92011,0.68924,0.697,0.72197,0.5152,1.09259,0.61884,0.97996,0.0070795,0.0070795,0.0070795
61,6886.38,1.09402,0.66868,0.91699,0.68918,0.6998,0.72292,0.5156,1.09238,0.61814,0.97997,0.00703,0.00703,0.00703
62,6997.49,1.10014,0.66784,0.91806,0.69071,0.69912,0.72389,0.5164,1.09225,0.61728,0.97987,0.0069805,0.0069805,0.0069805
63,7110.04,1.09786,0.66314,0.9167,0.6924,0.70005,0.72445,0.51701,1.09191,0.61693,0.97983,0.006931,0.006931,0.006931
64,7220.68,1.10464,0.67429,0.9192,0.69402,0.69901,0.72484,0.51753,1.09167,0.61652,0.97984,0.0068815,0.0068815,0.0068815
65,7331.77,1.09745,0.66381,0.91852,0.69276,0.70194,0.72544,0.51784,1.09137,0.6163,0.97972,0.006832,0.006832,0.006832
66,7442.4,1.09631,0.66304,0.91693,0.69165,0.70256,0.72595,0.51814,1.09126,0.61587,0.97977,0.0067825,0.0067825,0.0067825
67,7554.39,1.08835,0.65592,0.91528,0.68934,0.70453,0.72582,0.51879,1.09097,0.61547,0.97971,0.006733,0.006733,0.006733
68,7665.72,1.09074,0.65532,0.916,0.68861,0.70645,0.72643,0.51886,1.09083,0.61513,0.97974,0.0066835,0.0066835,0.0066835
