epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.491,3.37843,2.53366,1.84078,0.78374,0.14732,0.15903,0.06861,2.18801,1.51021,1.33192,0.0700267,0.00333037,0.00333037
2,277.251,1.93147,1.41553,1.17739,0.53133,0.27207,0.29507,0.1629,1.5339,1.11517,1.09317,0.0399937,0.00663072,0.00663072
3,398.707,1.65426,1.20097,1.07996,0.64516,0.27638,0.30524,0.17966,1.42798,1.02957,1.05822,0.0099277,0.00989807,0.00989807
4,518.406,1.50866,1.08086,1.03611,0.27031,0.44138,0.35832,0.22332,1.3234,0.9753,1.02527,0.0098515,0.0098515,0.0098515
5,637.967,1.41062,1.00741,1.00813,0.3447,0.52426,0.41534,0.26023,1.29358,0.90102,1.01329,0.009802,0.009802,0.009802
6,759.036,1.36105,0.96871,0.99265,0.38219,0.53695,0.4445,0.28453,1.25723,0.84542,1.00572,0.0097525,0.0097525,0.0097525
7,879.544,1.3283,0.91924,0.9801,0.48264,0.53441,0.50793,0.33045,1.22798,0.83802,0.99938,0.009703,0.009703,0.009703
8,1000.41,1.29997,0.88408,0.97013,0.49474,0.55537,0.51917,0.33799,1.22457,0.80245,0.99864,0.0096535,0.0096535,0.0096535
9,1120.48,1.28165,0.86002,0.96638,0.52907,0.57801,0.55474,0.3659,1.20829,0.77499,0.99543,0.009604,0.009604,0.009604
10,1239.8,1.2692,0.85523,0.96702,0.53515,0.59007,0.56178,0.37432,1.19928,0.76161,0.99495,0.0095545,0.0095545,0.0095545
11,1359.02,1.25822,0.83556,0.96057,0.54025,0.6228,0.59278,0.39557,1.18936,0.73857,0.99307,0.009505,0.009505,0.009505
12,1479.57,1.24668,0.81287,0.95679,0.54215,0.60611,0.59448,0.39511,1.18285,0.73877,0.99039,0.0094555,0.0094555,0.0094555
13,1600.57,1.23972,0.81047,0.95928,0.58621,0.61232,0.60722,0.40791,1.17054,0.73717,0.98853,0.009406,0.009406,0.009406
14,1720.63,1.23176,0.79943,0.95439,0.58102,0.6171,0.60485,0.40999,1.16986,0.72237,0.9892,0.0093565,0.0093565,0.0093565
15,1840.89,1.22518,0.79175,0.95347,0.56532,0.63158,0.61473,0.4184,1.16519,0.71793,0.98691,0.009307,0.009307,0.009307
16,1961.32,1.21707,0.78505,0.94915,0.58133,0.6441,0.62496,0.42701,1.15795,0.70445,0.98663,0.0092575,0.0092575,0.0092575
17,2080.89,1.21563,0.78562,0.94817,0.59826,0.65756,0.64121,0.43745,1.15178,0.69769,0.98555,0.009208,0.009208,0.009208
18,2202.62,1.20493,0.76588,0.94488,0.59148,0.65978,0.64774,0.44534,1.14808,0.69183,0.98663,0.0091585,0.0091585,0.0091585
19,2322.8,1.19894,0.76704,0.94669,0.59366,0.66735,0.65309,0.45017,1.14737,0.68575,0.98593,0.009109,0.009109,0.009109
20,2442.23,1.19952,0.76435,0.94284,0.62117,0.65638,0.65561,0.45144,1.14325,0.68586,0.98556,0.0090595,0.0090595,0.0090595
21,2562.4,1.19648,0.75533,0.94202,0.63034,0.64064,0.6602,0.45821,1.13745,0.68352,0.98419,0.00901,0.00901,0.00901
22,2682,1.19693,0.76098,0.94295,0.65748,0.64655,0.67024,0.46408,1.13517,0.67894,0.98402,0.0089605,0.0089605,0.0089605
23,2802.28,1.17983,0.74669,0.93945,0.61384,0.67531,0.66547,0.45825,1.13369,0.68001,0.9839,0.008911,0.008911,0.008911
24,2921.47,1.18161,0.7437,0.93795,0.61016,0.6812,0.66824,0.46435,1.12996,0.67055,0.98301,0.0088615,0.0088615,0.0088615
25,3041.32,1.17909,0.73743,0.93759,0.63154,0.66263,0.67558,0.46925,1.12917,0.66641,0.98356,0.008812,0.008812,0.008812
26,3160.5,1.16732,0.73109,0.93368,0.62959,0.67135,0.68217,0.47601,1.12839,0.65909,0.98313,0.0087625,0.0087625,0.0087625
27,3279.86,1.16874,0.73202,0.93741,0.63797,0.67503,0.68627,0.48005,1.12381,0.66142,0.9826,0.008713,0.008713,0.008713
28,3398.91,1.16624,0.72888,0.93396,0.63825,0.68059,0.68588,0.48206,1.11923,0.65475,0.98148,0.0086635,0.0086635,0.0086635
29,3517.97,1.167,0.72794,0.93347,0.63656,0.68626,0.69313,0.48695,1.11911,0.65368,0.98293,0.008614,0.008614,0.008614
30,3638.23,1.16706,0.72118,0.93466,0.64192,0.68375,0.69536,0.48729,1.12092,0.64999,0.98302,0.0085645,0.0085645,0.0085645
31,3758.42,1.16887,0.72415,0.93507,0.6403,0.70272,0.69745,0.49017,1.11731,0.64733,0.98299,0.008515,0.008515,0.008515
32,3879.6,1.16003,0.71892,0.9342,0.66686,0.6841,0.69831,0.49109,1.11551,0.64729,0.98236,0.0084655,0.0084655,0.0084655
33,3999.3,1.15777,0.71327,0.93095,0.65538,0.69183,0.70194,0.49421,1.11465,0.64439,0.98313,0.008416,0.008416,0.008416
34,4122.89,1.15616,0.71044,0.93005,0.64118,0.70277,0.70523,0.49719,1.11287,0.64107,0.98273,0.0083665,0.0083665,0.0083665
35,4243.09,1.1527,0.70906,0.93013,0.6696,0.69958,0.71236,0.50209,1.11194,0.63732,0.98322,0.008317,0.008317,0.008317
36,4362.55,1.14695,0.70097,0.92994,0.6719,0.68768,0.70956,0.50003,1.11181,0.6353,0.98349,0.0082675,0.0082675,0.0082675
37,4481.81,1.14415,0.69848,0.92726,0.65854,0.70575,0.71063,0.50022,1.11064,0.63465,0.98382,0.008218,0.008218,0.008218
38,4602.06,1.14474,0.69871,0.92927,0.66846,0.6993,0.71345,0.502,1.1105,0.63396,0.98416,0.0081685,0.0081685,0.0081685
39,4721.44,1.13874,0.69637,0.9273,0.67855,0.69585,0.71524,0.50305,1.10906,0.63238,0.9844,0.008119,0.008119,0.008119
40,4840.49,1.14674,0.70614,0.92976,0.67105,0.70033,0.71484,0.50484,1.10783,0.63133,0.98437,0.0080695,0.0080695,0.0080695
41,4960.56,1.1387,0.69347,0.92573,0.67367,0.69592,0.71279,0.50441,1.10761,0.63026,0.9844,0.00802,0.00802,0.00802
42,5079.7,1.13506,0.68895,0.92724,0.67092,0.70373,0.71564,0.50624,1.10694,0.62825,0.98449,0.0079705,0.0079705,0.0079705
43,5200.69,1.13205,0.69008,0.92349,0.67031,0.70586,0.71771,0.50712,1.10675,0.627,0.98435,0.007921,0.007921,0.007921
44,5320.11,1.13214,0.68893,0.92594,0.66654,0.71181,0.7177,0.50773,1.10606,0.62644,0.9843,0.0078715,0.0078715,0.0078715
45,5439.8,1.13105,0.68416,0.92455,0.66203,0.71788,0.71885,0.50914,1.10492,0.62534,0.98418,0.007822,0.007822,0.007822
