epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.448,3.36937,2.76551,2.50391,0.74001,0.10707,0.12755,0.06379,2.05688,1.75787,1.79881,0.0700267,0.00333037,0.00333037
2,236.104,1.91622,1.5689,1.56544,0.23338,0.2772,0.22101,0.12315,1.63382,1.24507,1.50357,0.0399937,0.00663072,0.00663072
3,337.088,1.64608,1.28505,1.38501,0.24115,0.36826,0.294,0.16788,1.51236,1.09999,1.42496,0.0099277,0.00989807,0.00989807
4,438.046,1.52842,1.14297,1.31467,0.27792,0.40285,0.31653,0.18789,1.45993,1.03665,1.38952,0.0098515,0.0098515,0.0098515
5,545.376,1.44675,1.04819,1.27287,0.31428,0.49063,0.35895,0.21753,1.42103,0.93399,1.37319,0.009802,0.009802,0.009802
6,644.481,1.40756,1.00687,1.2476,0.36033,0.47099,0.38977,0.24103,1.38663,0.89923,1.34563,0.0097525,0.0097525,0.0097525
7,746.612,1.37537,0.9542,1.2236,0.38606,0.47703,0.4294,0.27006,1.36225,0.88316,1.33716,0.009703,0.009703,0.009703
8,845.834,1.34683,0.91756,1.20674,0.45151,0.50451,0.45371,0.28555,1.35908,0.84636,1.33043,0.0096535,0.0096535,0.0096535
9,945.548,1.3406,0.90042,1.20603,0.46675,0.5327,0.48319,0.31134,1.34845,0.83358,1.32774,0.009604,0.009604,0.009604
10,1045.5,1.32494,0.88449,1.19874,0.51793,0.52094,0.51665,0.33169,1.34336,0.80967,1.333,0.0095545,0.0095545,0.0095545
11,1145,1.31318,0.86435,1.18764,0.50331,0.55257,0.52634,0.33712,1.33639,0.80219,1.32324,0.009505,0.009505,0.009505
12,1248.86,1.30434,0.84149,1.18139,0.54454,0.56937,0.55488,0.35972,1.32705,0.77921,1.31741,0.0094555,0.0094555,0.0094555
13,1348.85,1.30266,0.84629,1.19192,0.53934,0.57666,0.56154,0.36814,1.31667,0.77175,1.31226,0.009406,0.009406,0.009406
14,1447.96,1.29475,0.83075,1.17738,0.552,0.58071,0.56905,0.37034,1.31927,0.76452,1.312,0.0093565,0.0093565,0.0093565
15,1548.29,1.2833,0.81077,1.17593,0.57111,0.58375,0.57942,0.38023,1.31853,0.75664,1.31668,0.009307,0.009307,0.009307
16,1648.41,1.27592,0.80774,1.16887,0.55736,0.59612,0.5894,0.39048,1.31155,0.749,1.31402,0.0092575,0.0092575,0.0092575
17,1748.25,1.27093,0.8049,1.1666,0.58156,0.61097,0.5985,0.39789,1.30148,0.74269,1.30798,0.009208,0.009208,0.009208
18,1849.62,1.26976,0.79619,1.16489,0.5966,0.60704,0.61376,0.40529,1.30661,0.73677,1.31431,0.0091585,0.0091585,0.0091585
19,1949.73,1.27292,0.79915,1.16908,0.60011,0.61145,0.61202,0.4063,1.30594,0.7253,1.31057,0.009109,0.009109,0.009109
20,2048.16,1.25458,0.78056,1.15378,0.61644,0.62469,0.63082,0.42072,1.29603,0.71988,1.30517,0.0090595,0.0090595,0.0090595
21,2146.43,1.25628,0.77764,1.15306,0.62709,0.62424,0.63091,0.42483,1.29541,0.71443,1.30469,0.00901,0.00901,0.00901
22,2246.95,1.25403,0.77995,1.15349,0.63316,0.62683,0.63426,0.42338,1.29624,0.71278,1.30471,0.0089605,0.0089605,0.0089605
23,2350.99,1.24183,0.76761,1.14799,0.63762,0.632,0.64736,0.43457,1.29377,0.70824,1.30819,0.008911,0.008911,0.008911
24,2453.78,1.24437,0.76487,1.1464,0.6259,0.63929,0.6456,0.43315,1.28658,0.7033,1.30216,0.0088615,0.0088615,0.0088615
25,2554.37,1.23986,0.75517,1.14681,0.65094,0.6298,0.65425,0.44067,1.29167,0.70126,1.30303,0.008812,0.008812,0.008812
26,2656.54,1.24115,0.75601,1.14674,0.63979,0.65336,0.66147,0.44539,1.28881,0.69589,1.30354,0.0087625,0.0087625,0.0087625
27,2757.54,1.22332,0.74931,1.14086,0.66546,0.64456,0.66573,0.4471,1.28425,0.69387,1.30242,0.008713,0.008713,0.008713
28,2859.89,1.23174,0.74837,1.1431,0.66036,0.65414,0.66844,0.45026,1.27989,0.69084,1.30113,0.0086635,0.0086635,0.0086635
29,2967.15,1.23004,0.74745,1.13902,0.66673,0.65233,0.67139,0.45517,1.27598,0.68666,1.29882,0.008614,0.008614,0.008614
30,3073.09,1.22584,0.7417,1.1373,0.66329,0.65112,0.67366,0.45526,1.28023,0.68729,1.3004,0.0085645,0.0085645,0.0085645
31,3178.7,1.22619,0.73983,1.13945,0.65002,0.66464,0.6699,0.45415,1.27937,0.68577,1.29933,0.008515,0.008515,0.008515
32,3283.74,1.22064,0.7362,1.13856,0.6585,0.66563,0.67305,0.45648,1.277,0.68466,1.29946,0.0084655,0.0084655,0.0084655
33,3392.02,1.2144,0.73141,1.13203,0.67618,0.6597,0.67909,0.46099,1.27679,0.67994,1.29937,0.008416,0.008416,0.008416
34,3495.43,1.21542,0.72879,1.13054,0.67266,0.66447,0.67944,0.4626,1.27279,0.67834,1.29672,0.0083665,0.0083665,0.0083665
35,3599.46,1.21434,0.7251,1.13193,0.67496,0.66185,0.68133,0.46359,1.27309,0.67607,1.29637,0.008317,0.008317,0.008317
36,3707.5,1.20247,0.71554,1.12508,0.68827,0.6536,0.68263,0.46375,1.27284,0.67632,1.29739,0.0082675,0.0082675,0.0082675
37,3813.79,1.20448,0.71403,1.12526,0.69221,0.66165,0.68797,0.46971,1.27048,0.67238,1.29732,0.008218,0.008218,0.008218
38,3919.55,1.20818,0.71884,1.13022,0.69233,0.66938,0.68827,0.47165,1.27049,0.67172,1.29718,0.0081685,0.0081685,0.0081685
39,4024.56,1.1983,0.71326,1.12352,0.68564,0.67221,0.69289,0.47457,1.26838,0.66968,1.29581,0.008119,0.008119,0.008119
40,4128.25,1.19899,0.71599,1.1237,0.69511,0.66511,0.69279,0.47447,1.2701,0.66772,1.29654,0.0080695,0.0080695,0.0080695
41,4234.57,1.20003,0.71211,1.12404,0.70012,0.66729,0.69428,0.47544,1.27075,0.66743,1.29655,0.00802,0.00802,0.00802
42,4339.55,1.19555,0.70456,1.12456,0.70347,0.66707,0.69482,0.47628,1.27003,0.66572,1.29698,0.0079705,0.0079705,0.0079705
43,4443.27,1.19651,0.70995,1.11971,0.70008,0.66978,0.69489,0.47723,1.26946,0.66558,1.29772,0.007921,0.007921,0.007921
44,4549.21,1.19491,0.70556,1.12061,0.70658,0.66911,0.69654,0.47835,1.26747,0.66415,1.29696,0.0078715,0.0078715,0.0078715
45,4652.59,1.19537,0.70481,1.12142,0.70552,0.66667,0.69888,0.48023,1.26752,0.66276,1.2975,0.007822,0.007822,0.007822
46,4758.95,1.19754,0.71647,1.12096,0.70938,0.67146,0.70066,0.48181,1.26576,0.6607,1.29686,0.0077725,0.0077725,0.0077725
47,4864.46,1.19464,0.70777,1.11353,0.70118,0.67668,0.70058,0.48271,1.26497,0.66051,1.29669,0.007723,0.007723,0.007723
48,4970.72,1.20263,0.71092,1.12001,0.70701,0.67277,0.70319,0.48511,1.26382,0.65924,1.29565,0.0076735,0.0076735,0.0076735
49,5079.63,1.18989,0.70458,1.1117,0.70148,0.68003,0.70394,0.48556,1.26288,0.6585,1.29477,0.007624,0.007624,0.007624
50,5184.41,1.17768,0.69412,1.10715,0.70257,0.67891,0.70496,0.48658,1.26245,0.65818,1.29405,0.0075745,0.0075745,0.0075745
51,5292.71,1.19291,0.70374,1.11479,0.70492,0.68332,0.706,0.4874,1.26165,0.65787,1.29337,0.007525,0.007525,0.007525
