epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.726,3.33777,2.74135,2.47397,0.3375,0.09929,0.11819,0.05976,2.1426,1.8303,1.84589,0.0700267,0.00333037,0.00333037
2,189.738,1.9659,1.62161,1.58273,0.22492,0.23591,0.21392,0.11847,1.63249,1.28575,1.48624,0.0399937,0.00663072,0.00663072
3,274.402,1.67533,1.33465,1.39448,0.47418,0.24342,0.24146,0.13937,1.52617,1.25687,1.43708,0.0099277,0.00989807,0.00989807
4,355.559,1.55102,1.18855,1.32062,0.25389,0.36986,0.30511,0.17992,1.4652,1.05667,1.38035,0.0098515,0.0098515,0.0098515
5,436.448,1.4741,1.0949,1.28054,0.33156,0.42181,0.33221,0.19919,1.45022,0.97741,1.37547,0.009802,0.009802,0.009802
6,518.548,1.43486,1.05097,1.25511,0.35685,0.42209,0.35273,0.21453,1.39837,0.94039,1.34504,0.0097525,0.0097525,0.0097525
7,599.594,1.40607,0.99471,1.23153,0.38499,0.47134,0.39656,0.24805,1.38497,0.91694,1.3378,0.009703,0.009703,0.009703
8,682.413,1.37845,0.96096,1.21484,0.41248,0.46699,0.40923,0.2555,1.38353,0.88612,1.34051,0.0096535,0.0096535,0.0096535
9,763.79,1.37118,0.9457,1.21484,0.42014,0.517,0.4559,0.28935,1.36411,0.86171,1.32927,0.009604,0.009604,0.009604
10,846.055,1.3555,0.92954,1.20597,0.48831,0.5152,0.4716,0.29886,1.3717,0.84863,1.33964,0.0095545,0.0095545,0.0095545
11,928.628,1.34587,0.91277,1.1965,0.48249,0.523,0.49268,0.31613,1.35766,0.84152,1.33112,0.009505,0.009505,0.009505
12,1009.51,1.33864,0.88857,1.1916,0.5079,0.556,0.52102,0.33101,1.35368,0.81982,1.32102,0.0094555,0.0094555,0.0094555
13,1091.69,1.33605,0.89163,1.19939,0.52018,0.57245,0.54125,0.34846,1.33686,0.79919,1.31322,0.009406,0.009406,0.009406
14,1172.69,1.32695,0.87635,1.18497,0.51488,0.5576,0.54027,0.3468,1.33849,0.79773,1.31385,0.0093565,0.0093565,0.0093565
15,1253.87,1.31645,0.85843,1.18449,0.52644,0.56136,0.5506,0.35667,1.33474,0.78996,1.31776,0.009307,0.009307,0.009307
16,1335.15,1.30968,0.85253,1.17739,0.53202,0.57682,0.55344,0.36116,1.32521,0.78735,1.3105,0.0092575,0.0092575,0.0092575
17,1417.15,1.30185,0.85168,1.17395,0.55818,0.57018,0.56328,0.36675,1.32622,0.77704,1.31368,0.009208,0.009208,0.009208
18,1499.76,1.30101,0.84197,1.17285,0.56675,0.587,0.58142,0.37987,1.32455,0.77066,1.31583,0.0091585,0.0091585,0.0091585
19,1582.75,1.30617,0.84747,1.17678,0.56713,0.5963,0.58997,0.38683,1.32832,0.76073,1.31488,0.009109,0.009109,0.009109
20,1663.15,1.28885,0.82749,1.16288,0.57558,0.59335,0.59819,0.39278,1.31509,0.75425,1.30493,0.0090595,0.0090595,0.0090595
21,1745.12,1.28851,0.82254,1.16123,0.59143,0.60548,0.60456,0.39729,1.31475,0.75151,1.30727,0.00901,0.00901,0.00901
22,1825.55,1.2848,0.8253,1.16066,0.59719,0.59538,0.60645,0.40116,1.31711,0.74802,1.31069,0.0089605,0.0089605,0.0089605
23,1905.97,1.27391,0.81135,1.15572,0.59157,0.61303,0.61278,0.40455,1.3088,0.742,1.30532,0.008911,0.008911,0.008911
24,1987.16,1.27872,0.80936,1.15505,0.59728,0.63105,0.62463,0.41258,1.30851,0.73525,1.30676,0.0088615,0.0088615,0.0088615
25,2066.8,1.27307,0.80172,1.15489,0.60665,0.63133,0.6333,0.41869,1.30841,0.73119,1.30441,0.008812,0.008812,0.008812
26,2149.22,1.27632,0.80423,1.15441,0.61165,0.6249,0.63036,0.41886,1.30945,0.73316,1.30229,0.0087625,0.0087625,0.0087625
27,2229.04,1.26139,0.80157,1.14806,0.62019,0.62861,0.63651,0.42394,1.30463,0.72974,1.30261,0.008713,0.008713,0.008713
28,2310.57,1.2694,0.80288,1.14891,0.61834,0.63606,0.64211,0.428,1.29999,0.72957,1.30129,0.0086635,0.0086635,0.0086635
29,2391.37,1.26745,0.8009,1.14389,0.61821,0.63961,0.64608,0.43009,1.29854,0.72393,1.29773,0.008614,0.008614,0.008614
30,2472.48,1.26354,0.79389,1.14196,0.63271,0.63513,0.6538,0.43396,1.30164,0.7191,1.29965,0.0085645,0.0085645,0.0085645
31,2555.49,1.26531,0.79342,1.14384,0.62631,0.63581,0.65265,0.43433,1.29904,0.71987,1.29851,0.008515,0.008515,0.008515
32,2637.95,1.25889,0.78855,1.14239,0.63843,0.63445,0.65339,0.4369,1.29601,0.71813,1.29685,0.0084655,0.0084655,0.0084655
