epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.329,3.98874,3.11545,2.19,0.5212,0.12124,0.12937,0.05417,2.24212,1.62195,1.37372,0.0700267,0.00333037,0.00333037
2,391.132,1.98607,1.45077,1.20328,0.45755,0.25396,0.27163,0.15165,1.54604,1.13868,1.09144,0.0399937,0.00663072,0.00663072
3,537.992,1.62261,1.18397,1.07537,0.68349,0.2863,0.32559,0.19108,1.3893,1.00848,1.04929,0.0099277,0.00989807,0.00989807
4,683.928,1.46305,1.05637,1.02505,0.28612,0.46275,0.37089,0.23654,1.2906,0.94496,1.01485,0.0098515,0.0098515,0.0098515
5,827.812,1.36526,0.9802,0.99721,0.37408,0.5363,0.44382,0.28874,1.25424,0.87025,1.00807,0.009802,0.009802,0.009802
6,997.677,1.3142,0.93971,0.98122,0.39813,0.54703,0.48088,0.31395,1.21655,0.8255,0.99519,0.0097525,0.0097525,0.0097525
7,1144.12,1.27929,0.89161,0.96815,0.44295,0.56234,0.51843,0.34459,1.19915,0.80955,0.99373,0.009703,0.009703,0.009703
8,1293.07,1.25121,0.85902,0.95833,0.49672,0.57413,0.54607,0.36376,1.19548,0.7795,0.99125,0.0096535,0.0096535,0.0096535
9,1472.82,1.23054,0.83284,0.95405,0.50763,0.59325,0.56038,0.37657,1.17885,0.75787,0.98576,0.009604,0.009604,0.009604
10,1625.02,1.22118,0.82676,0.95501,0.56945,0.61013,0.57714,0.39,1.17102,0.75303,0.98956,0.0095545,0.0095545,0.0095545
11,1770.28,1.20707,0.80437,0.94839,0.56341,0.60159,0.59379,0.40591,1.15993,0.71749,0.98651,0.009505,0.009505,0.009505
12,1917,1.19585,0.78321,0.9445,0.57508,0.61461,0.61171,0.4149,1.15161,0.7243,0.98068,0.0094555,0.0094555,0.0094555
13,2063.74,1.18736,0.78047,0.94662,0.58368,0.63373,0.61704,0.41979,1.14465,0.71097,0.97982,0.009406,0.009406,0.009406
14,2209.88,1.17968,0.76973,0.94146,0.54336,0.66552,0.61235,0.42411,1.14011,0.70067,0.98109,0.0093565,0.0093565,0.0093565
15,2355.45,1.17441,0.76062,0.94146,0.59122,0.65153,0.64202,0.443,1.13659,0.69003,0.97994,0.009307,0.009307,0.009307
16,2501.49,1.16501,0.75114,0.93705,0.6025,0.66054,0.64505,0.44917,1.13067,0.68812,0.98003,0.0092575,0.0092575,0.0092575
17,2648.77,1.16424,0.75519,0.93605,0.62016,0.66707,0.66053,0.46005,1.1232,0.67936,0.97812,0.009208,0.009208,0.009208
18,2795.69,1.15606,0.73377,0.93392,0.62202,0.68406,0.66789,0.46509,1.11966,0.67035,0.97748,0.0091585,0.0091585,0.0091585
19,2941,1.15051,0.73618,0.93571,0.62903,0.67791,0.6703,0.47225,1.12161,0.66709,0.97919,0.009109,0.009109,0.009109
20,3086.8,1.14938,0.7323,0.93171,0.6284,0.67095,0.66549,0.46491,1.11777,0.67025,0.98045,0.0090595,0.0090595,0.0090595
21,3230.67,1.14413,0.72247,0.92955,0.6375,0.67439,0.68358,0.47905,1.11286,0.66239,0.97823,0.00901,0.00901,0.00901
22,3376.94,1.14498,0.72749,0.93103,0.65418,0.67625,0.68902,0.48312,1.10897,0.65465,0.97694,0.0089605,0.0089605,0.0089605
23,3522.06,1.13035,0.71578,0.92731,0.6511,0.67058,0.67841,0.47756,1.10908,0.65865,0.97797,0.008911,0.008911,0.008911
24,3667.81,1.13173,0.71171,0.9264,0.63431,0.68344,0.68242,0.48357,1.10702,0.65264,0.9778,0.0088615,0.0088615,0.0088615
25,3813.28,1.12862,0.70666,0.92598,0.63849,0.68511,0.69148,0.49045,1.10673,0.64848,0.97796,0.008812,0.008812,0.008812
26,3958.82,1.11889,0.69872,0.92245,0.65367,0.68646,0.70014,0.49816,1.105,0.64265,0.97761,0.0087625,0.0087625,0.0087625
27,4103.81,1.11851,0.70073,0.92538,0.68279,0.67516,0.70896,0.50241,1.10059,0.64074,0.97625,0.008713,0.008713,0.008713
28,4249.57,1.11535,0.69677,0.92256,0.65511,0.69436,0.69842,0.49784,1.099,0.63889,0.97602,0.0086635,0.0086635,0.0086635
29,4393.55,1.11773,0.69503,0.92285,0.66268,0.69881,0.70666,0.50227,1.0987,0.63849,0.97698,0.008614,0.008614,0.008614
30,4537.71,1.1168,0.69043,0.92254,0.67477,0.69669,0.71334,0.5082,1.09702,0.63247,0.97602,0.0085645,0.0085645,0.0085645
31,4681.86,1.11924,0.69231,0.92379,0.67875,0.69871,0.71448,0.50796,1.09687,0.63048,0.97695,0.008515,0.008515,0.008515
32,4826.85,1.11297,0.68739,0.92292,0.67314,0.69633,0.71501,0.51075,1.09467,0.63006,0.97711,0.0084655,0.0084655,0.0084655
33,4971.71,1.11107,0.68469,0.92028,0.688,0.69172,0.71639,0.51193,1.09421,0.62758,0.9768,0.008416,0.008416,0.008416
34,5115.86,1.10664,0.67951,0.91888,0.6767,0.6991,0.71994,0.51536,1.09165,0.62532,0.97697,0.0083665,0.0083665,0.0083665
35,5259.83,1.1065,0.67834,0.91928,0.67819,0.70238,0.72038,0.51628,1.09065,0.62349,0.97617,0.008317,0.008317,0.008317
36,5404.49,1.09842,0.6721,0.91934,0.68767,0.69625,0.72275,0.51676,1.08975,0.62239,0.97589,0.0082675,0.0082675,0.0082675
37,5548.94,1.09619,0.66993,0.91635,0.67255,0.71136,0.72111,0.51664,1.09026,0.62285,0.97669,0.008218,0.008218,0.008218
38,5692.65,1.09861,0.67194,0.91887,0.67266,0.70994,0.72398,0.51921,1.08693,0.62244,0.97603,0.0081685,0.0081685,0.0081685
39,5837.57,1.09199,0.6676,0.91666,0.67796,0.70206,0.72403,0.5205,1.0851,0.6204,0.97639,0.008119,0.008119,0.008119
40,5983.01,1.10005,0.67452,0.91877,0.67529,0.70738,0.72423,0.52119,1.08525,0.62062,0.97655,0.0080695,0.0080695,0.0080695
41,6127.36,1.09266,0.66514,0.91597,0.6761,0.70825,0.72246,0.52082,1.0846,0.61909,0.97654,0.00802,0.00802,0.00802
42,6272.13,1.09128,0.66078,0.91715,0.68505,0.71137,0.72611,0.52345,1.08435,0.6174,0.97627,0.0079705,0.0079705,0.0079705
43,6415.85,1.08644,0.66029,0.91358,0.67831,0.7133,0.72837,0.52531,1.08434,0.61609,0.97599,0.007921,0.007921,0.007921
44,6558.9,1.08763,0.65859,0.91582,0.68645,0.71208,0.72964,0.52601,1.08327,0.61443,0.97568,0.0078715,0.0078715,0.0078715
45,6703.31,1.08777,0.65441,0.9152,0.69291,0.71022,0.7324,0.52775,1.08239,0.6133,0.97592,0.007822,0.007822,0.007822
46,6847.59,1.08676,0.6633,0.91617,0.69073,0.71023,0.73245,0.52859,1.08158,0.61255,0.97608,0.0077725,0.0077725,0.0077725
47,6993.24,1.08742,0.65558,0.91512,0.68638,0.71657,0.73516,0.53078,1.08085,0.61117,0.97614,0.007723,0.007723,0.007723
48,7137.27,1.08644,0.65331,0.9163,0.68715,0.71797,0.73821,0.53332,1.07985,0.60941,0.97589,0.0076735,0.0076735,0.0076735
49,7281.19,1.08362,0.65249,0.91466,0.68994,0.72099,0.73882,0.53379,1.07922,0.60866,0.97584,0.007624,0.007624,0.007624
50,7426.12,1.07405,0.64662,0.9125,0.69707,0.71411,0.73894,0.53356,1.07882,0.60791,0.97589,0.0075745,0.0075745,0.0075745
51,7569.5,1.0782,0.64957,0.91402,0.69623,0.71545,0.74024,0.53463,1.0783,0.60773,0.97598,0.007525,0.007525,0.007525
52,7714.64,1.07695,0.65101,0.91312,0.69688,0.7191,0.74044,0.53456,1.07794,0.60686,0.97586,0.0074755,0.0074755,0.0074755
53,7859.1,1.06975,0.64425,0.91096,0.70612,0.71454,0.74094,0.53531,1.07771,0.6062,0.97602,0.007426,0.007426,0.007426
54,8004.28,1.07459,0.64993,0.91273,0.70884,0.71352,0.74175,0.53616,1.07706,0.60564,0.97583,0.0073765,0.0073765,0.0073765
55,8149.79,1.07013,0.64308,0.91163,0.71558,0.70779,0.74284,0.53711,1.07654,0.60465,0.97571,0.007327,0.007327,0.007327
56,8294.18,1.06822,0.63718,0.91108,0.7154,0.71062,0.74381,0.5379,1.07622,0.60395,0.97574,0.0072775,0.0072775,0.0072775
57,8438.56,1.07118,0.63748,0.91051,0.71893,0.70915,0.74415,0.53834,1.07588,0.60321,0.9756,0.007228,0.007228,0.007228
58,8582.08,1.06708,0.63784,0.90975,0.71509,0.71311,0.74457,0.53887,1.07575,0.60264,0.97573,0.0071785,0.0071785,0.0071785
59,8726.47,1.07861,0.63606,0.9121,0.71728,0.71274,0.74513,0.5392,1.07557,0.60202,0.97579,0.007129,0.007129,0.007129
60,8871.27,1.06677,0.64119,0.91134,0.71919,0.71212,0.74539,0.53927,1.07508,0.6015,0.97586,0.0070795,0.0070795,0.0070795
61,9015.4,1.06037,0.63557,0.90832,0.71874,0.7151,0.74642,0.54073,1.07491,0.60059,0.97584,0.00703,0.00703,0.00703
62,9160.02,1.06441,0.63485,0.90905,0.72055,0.71317,0.74678,0.54077,1.07475,0.59974,0.97591,0.0069805,0.0069805,0.0069805
63,9304.71,1.06475,0.63247,0.90867,0.71887,0.71448,0.74767,0.54149,1.0744,0.59908,0.97575,0.006931,0.006931,0.006931
64,9449.3,1.06969,0.64162,0.91021,0.72025,0.71561,0.74814,0.54223,1.07395,0.59833,0.97572,0.0068815,0.0068815,0.0068815
65,9594.77,1.06292,0.63328,0.90969,0.719,0.71687,0.74875,0.54305,1.0737,0.59765,0.97565,0.006832,0.006832,0.006832
66,9739.85,1.06221,0.63098,0.90849,0.7185,0.71755,0.74898,0.5437,1.07344,0.59709,0.97557,0.0067825,0.0067825,0.0067825
67,9885.01,1.05578,0.62517,0.90679,0.72029,0.71707,0.74936,0.54401,1.07319,0.59647,0.97551,0.006733,0.006733,0.006733
68,10029.6,1.05691,0.62413,0.90741,0.71998,0.71732,0.74991,0.54471,1.07308,0.59603,0.97554,0.0066835,0.0066835,0.0066835
69,10174.3,1.05627,0.6211,0.90534,0.72105,0.71858,0.75073,0.54479,1.07289,0.59558,0.97561,0.006634,0.006634,0.006634
70,10319.6,1.06454,0.62722,0.90772,0.72107,0.71923,0.75148,0.54524,1.07257,0.5951,0.97553,0.0065845,0.0065845,0.0065845
71,10464.6,1.05574,0.62492,0.90721,0.71924,0.72099,0.75187,0.54578,1.07235,0.59421,0.97551,0.006535,0.006535,0.006535
72,10609.4,1.05743,0.6264,0.90784,0.71865,0.72032,0.75214,0.54652,1.0721,0.59375,0.97553,0.0064855,0.0064855,0.0064855
73,10754.1,1.05554,0.6266,0.90685,0.71812,0.72108,0.7527,0.5466,1.07189,0.59318,0.97554,0.006436,0.006436,0.006436
74,10898.8,1.05947,0.62272,0.90873,0.71712,0.722,0.75341,0.54766,1.07163,0.59254,0.97554,0.0063865,0.0063865,0.0063865
75,11044,1.04936,0.61657,0.90704,0.71813,0.72096,0.75419,0.54791,1.07137,0.59213,0.97557,0.006337,0.006337,0.006337
76,11188.8,1.04568,0.61634,0.90414,0.71581,0.72359,0.75433,0.5484,1.07094,0.59161,0.97556,0.0062875,0.0062875,0.0062875
77,11332.6,1.0481,0.61298,0.90602,0.71533,0.72472,0.75482,0.54907,1.07067,0.59103,0.9755,0.006238,0.006238,0.006238
78,11477.2,1.04828,0.61469,0.90466,0.71677,0.72245,0.75502,0.54907,1.07044,0.59041,0.97544,0.0061885,0.0061885,0.0061885
79,11622,1.04756,0.61402,0.90374,0.71959,0.72402,0.75544,0.54928,1.07039,0.59002,0.97543,0.006139,0.006139,0.006139
80,11766.6,1.03983,0.61357,0.90266,0.72033,0.72495,0.75592,0.54979,1.07011,0.58932,0.97545,0.0060895,0.0060895,0.0060895
81,11911.3,1.0448,0.61203,0.9026,0.7164,0.72787,0.75651,0.55007,1.06996,0.58902,0.97541,0.00604,0.00604,0.00604
82,12054.4,1.04708,0.61395,0.90553,0.71563,0.72914,0.75729,0.55103,1.06999,0.58848,0.97541,0.0059905,0.0059905,0.0059905
83,12198.9,1.04432,0.61416,0.9049,0.71653,0.72965,0.75783,0.55134,1.0697,0.58798,0.97539,0.005941,0.005941,0.005941
84,12344.1,1.03844,0.60888,0.9034,0.71639,0.73078,0.75862,0.55173,1.06938,0.58727,0.97536,0.0058915,0.0058915,0.0058915
85,12489.6,1.04587,0.61791,0.90552,0.71436,0.73171,0.7592,0.5525,1.06928,0.58704,0.97537,0.005842,0.005842,0.005842
86,12634.5,1.0353,0.60762,0.90515,0.71507,0.73177,0.75976,0.55334,1.06904,0.5867,0.97531,0.0057925,0.0057925,0.0057925
87,12780.2,1.0396,0.60523,0.9027,0.71606,0.73224,0.76023,0.55344,1.06889,0.58628,0.97534,0.005743,0.005743,0.005743
88,12925,1.03447,0.60755,0.90156,0.71508,0.73416,0.76081,0.55409,1.06865,0.58588,0.97533,0.0056935,0.0056935,0.0056935
89,13069.8,1.04328,0.61099,0.90405,0.71865,0.73316,0.76136,0.55445,1.06829,0.58558,0.97532,0.005644,0.005644,0.005644
90,13214.5,1.03142,0.60753,0.90137,0.71764,0.73442,0.76198,0.55483,1.06803,0.58518,0.97523,0.0055945,0.0055945,0.0055945
91,13359.5,1.04332,0.60558,0.90483,0.71789,0.73442,0.76244,0.55538,1.06766,0.58487,0.97517,0.005545,0.005545,0.005545
92,13504.8,1.03208,0.60268,0.90238,0.72198,0.7313,0.76285,0.55592,1.06745,0.58443,0.9752,0.0054955,0.0054955,0.0054955
93,13650.6,1.03612,0.60184,0.90211,0.72664,0.7295,0.7633,0.55668,1.06719,0.58408,0.97526,0.005446,0.005446,0.005446
94,13796.3,1.04059,0.60529,0.90234,0.7279,0.72821,0.76366,0.55692,1.06698,0.5836,0.9752,0.0053965,0.0053965,0.0053965
95,13940.8,1.04065,0.60575,0.90182,0.71821,0.73624,0.76414,0.5574,1.06679,0.58291,0.97522,0.005347,0.005347,0.005347
96,14084.8,1.03505,0.60838,0.90154,0.72869,0.72842,0.76455,0.55765,1.06667,0.5826,0.97525,0.0052975,0.0052975,0.0052975
97,14229.8,1.02962,0.60464,0.90267,0.71708,0.73813,0.76496,0.55796,1.06639,0.58236,0.97523,0.005248,0.005248,0.005248
98,14375.4,1.03073,0.596,0.90074,0.7192,0.73746,0.76539,0.55825,1.06603,0.58204,0.97521,0.0051985,0.0051985,0.0051985
99,14520.8,1.03179,0.59921,0.90248,0.71636,0.7392,0.76619,0.55869,1.06586,0.58171,0.97518,0.005149,0.005149,0.005149
100,14665.5,1.02903,0.60141,0.90355,0.71751,0.73997,0.76656,0.55909,1.06557,0.58138,0.9752,0.0050995,0.0050995,0.0050995
101,14811.2,1.02673,0.59914,0.90115,0.71847,0.73914,0.76672,0.55962,1.06533,0.58103,0.97516,0.00505,0.00505,0.00505
