epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.79,3.60615,3.00784,2.68972,0.3416,0.08631,0.10221,0.04835,2.33198,2.01238,1.97131,0.0700267,0.00333037,0.00333037
2,211.711,1.95242,1.6482,1.58366,0.22783,0.23767,0.21269,0.11824,1.62665,1.268,1.48492,0.0399937,0.00663072,0.00663072
3,307.368,1.64727,1.32069,1.38485,0.57429,0.23796,0.27699,0.15841,1.50746,1.14692,1.41505,0.0099277,0.00989807,0.00989807
4,401.477,1.52186,1.16381,1.31154,0.24908,0.37247,0.29162,0.17457,1.43807,1.06314,1.38277,0.0098515,0.0098515,0.0098515
5,496.757,1.44206,1.06494,1.27033,0.31116,0.45254,0.33248,0.20354,1.42478,0.9899,1.38058,0.009802,0.009802,0.009802
6,592.064,1.40203,1.02055,1.24561,0.37665,0.4601,0.37356,0.23092,1.38726,0.91601,1.34632,0.0097525,0.0097525,0.0097525
7,685.808,1.3672,0.9602,1.22007,0.40806,0.47295,0.41747,0.26045,1.36711,0.89161,1.33738,0.009703,0.009703,0.009703
8,779.843,1.34304,0.92759,1.20451,0.42813,0.49273,0.43746,0.27795,1.35976,0.859,1.33781,0.0096535,0.0096535,0.0096535
9,874.322,1.33448,0.9096,1.20299,0.45923,0.5089,0.46918,0.30158,1.34413,0.83383,1.3296,0.009604,0.009604,0.009604
10,969.715,1.317,0.89236,1.19452,0.49506,0.54594,0.5039,0.32297,1.33595,0.81365,1.32688,0.0095545,0.0095545,0.0095545
11,1063.65,1.30707,0.87263,1.18515,0.48696,0.55202,0.50744,0.32873,1.32987,0.80343,1.3276,0.009505,0.009505,0.009505
12,1158.38,1.2991,0.84882,1.17921,0.50073,0.55588,0.51117,0.33125,1.32122,0.79543,1.31613,0.0094555,0.0094555,0.0094555
13,1252.08,1.29999,0.85516,1.19001,0.51723,0.57185,0.53713,0.35218,1.31879,0.78216,1.31199,0.009406,0.009406,0.009406
14,1345.93,1.28703,0.8381,1.17342,0.5003,0.57926,0.53937,0.35254,1.31675,0.77626,1.31366,0.0093565,0.0093565,0.0093565
15,1440.77,1.2773,0.81905,1.17302,0.53666,0.60609,0.56317,0.36702,1.31085,0.75707,1.31165,0.009307,0.009307,0.009307
16,1537.11,1.27184,0.81492,1.16647,0.5477,0.6041,0.57869,0.38218,1.30604,0.74858,1.31098,0.0092575,0.0092575,0.0092575
17,1631.59,1.26543,0.81195,1.16394,0.55617,0.61111,0.57752,0.38038,1.3042,0.74348,1.30971,0.009208,0.009208,0.009208
18,1725.79,1.26708,0.80223,1.16266,0.56765,0.61077,0.59321,0.39294,1.29871,0.73736,1.30977,0.0091585,0.0091585,0.0091585
19,1819.97,1.26887,0.80478,1.16594,0.57383,0.6076,0.59994,0.40029,1.30025,0.7318,1.30923,0.009109,0.009109,0.009109
20,1914.25,1.25106,0.78633,1.15214,0.58158,0.61553,0.60287,0.40297,1.29449,0.72638,1.30537,0.0090595,0.0090595,0.0090595
21,2008.06,1.25345,0.78429,1.15105,0.59216,0.63225,0.61625,0.41238,1.2922,0.71889,1.30554,0.00901,0.00901,0.00901
22,2101.38,1.24922,0.78683,1.15123,0.59819,0.6311,0.61991,0.41421,1.2933,0.71468,1.30442,0.0089605,0.0089605,0.0089605
23,2195.61,1.23915,0.77306,1.14671,0.59336,0.63154,0.62503,0.41954,1.28853,0.71105,1.3009,0.008911,0.008911,0.008911
24,2289.55,1.2424,0.76965,1.14471,0.60432,0.62003,0.62399,0.4209,1.28449,0.70868,1.3016,0.0088615,0.0088615,0.0088615
25,2383.5,1.23469,0.76115,1.14414,0.60692,0.63348,0.63738,0.42959,1.28349,0.7004,1.29697,0.008812,0.008812,0.008812
26,2477.39,1.23872,0.76158,1.14502,0.62287,0.6351,0.64076,0.43282,1.28275,0.69973,1.30247,0.0087625,0.0087625,0.0087625
27,2570.78,1.22124,0.7551,1.13898,0.62722,0.645,0.64814,0.43727,1.28376,0.69334,1.30277,0.008713,0.008713,0.008713
28,2665.67,1.229,0.75653,1.14056,0.63219,0.64018,0.64994,0.44269,1.27889,0.6955,1.29849,0.0086635,0.0086635,0.0086635
29,2759.89,1.22923,0.75313,1.13819,0.64474,0.64843,0.6619,0.448,1.27819,0.68975,1.29718,0.008614,0.008614,0.008614
30,2853.85,1.2247,0.74758,1.13588,0.63518,0.65005,0.65974,0.44656,1.27737,0.68732,1.29688,0.0085645,0.0085645,0.0085645
31,2947.7,1.22444,0.74682,1.13817,0.64253,0.65274,0.66375,0.4507,1.27536,0.68501,1.29495,0.008515,0.008515,0.008515
32,3041.74,1.22182,0.74438,1.13771,0.64702,0.65583,0.66978,0.45392,1.2756,0.68511,1.29508,0.0084655,0.0084655,0.0084655
33,3135.61,1.21545,0.73816,1.13094,0.66183,0.66227,0.67611,0.45728,1.27539,0.68152,1.29461,0.008416,0.008416,0.008416
34,3230,1.21912,0.73715,1.12985,0.67025,0.66579,0.68124,0.46061,1.273,0.67838,1.29201,0.0083665,0.0083665,0.0083665
35,3324.36,1.21964,0.73689,1.13014,0.66897,0.66217,0.68071,0.46056,1.27262,0.67663,1.29125,0.008317,0.008317,0.008317
36,3418.35,1.20713,0.72962,1.12165,0.663,0.66819,0.68076,0.46242,1.27244,0.67825,1.29394,0.0082675,0.0082675,0.0082675
37,3512.66,1.21103,0.72971,1.12116,0.67021,0.67114,0.68212,0.46219,1.27277,0.67739,1.29186,0.008218,0.008218,0.008218
38,3607.09,1.21577,0.73392,1.12551,0.66884,0.67475,0.68415,0.46474,1.2726,0.67648,1.29177,0.0081685,0.0081685,0.0081685
39,3701.07,1.20606,0.72956,1.11801,0.67884,0.67359,0.68698,0.46779,1.26926,0.67519,1.28989,0.008119,0.008119,0.008119
40,3795.32,1.206,0.72966,1.11757,0.68311,0.66653,0.68756,0.46751,1.26911,0.67442,1.28897,0.0080695,0.0080695,0.0080695
