epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.134,3.58252,2.75879,1.96766,0.53356,0.13033,0.14917,0.06398,2.13768,1.50786,1.31427,0.0700267,0.00333037,0.00333037
2,329.914,1.94964,1.41317,1.18377,0.24854,0.34257,0.27758,0.15472,1.52194,1.11428,1.08863,0.0399937,0.00663072,0.00663072
3,487.584,1.64905,1.19328,1.08019,0.4452,0.26756,0.30949,0.18529,1.42161,1.04789,1.05419,0.0099277,0.00989807,0.00989807
4,643.272,1.49668,1.07347,1.03284,0.30487,0.46339,0.38728,0.24665,1.30412,0.93392,1.01481,0.0098515,0.0098515,0.0098515
5,797.858,1.39314,0.98785,1.00233,0.3925,0.51495,0.44737,0.28683,1.26514,0.88558,1.00864,0.009802,0.009802,0.009802
6,951.483,1.33878,0.94158,0.9855,0.44227,0.55135,0.48834,0.31819,1.23972,0.82665,1.00578,0.0097525,0.0097525,0.0097525
7,1106.6,1.30254,0.88834,0.97273,0.5024,0.56306,0.54453,0.35594,1.20702,0.78698,0.99556,0.009703,0.009703,0.009703
8,1260.55,1.27268,0.85557,0.96243,0.56149,0.59225,0.57859,0.38222,1.2,0.76636,0.99391,0.0096535,0.0096535,0.0096535
9,1414.85,1.25018,0.83144,0.95761,0.55595,0.59769,0.59277,0.39722,1.18238,0.74938,0.98909,0.009604,0.009604,0.009604
10,1567.36,1.23716,0.82539,0.95741,0.55047,0.63206,0.59984,0.40595,1.17275,0.73725,0.98992,0.0095545,0.0095545,0.0095545
11,1722.32,1.22273,0.80273,0.9503,0.58587,0.62651,0.6237,0.4223,1.16675,0.71727,0.98905,0.009505,0.009505,0.009505
12,1876.36,1.21247,0.78258,0.94729,0.55268,0.64366,0.61603,0.41684,1.16046,0.71844,0.98557,0.0094555,0.0094555,0.0094555
13,2031.58,1.20212,0.77784,0.94872,0.60405,0.65823,0.64717,0.43751,1.15065,0.70121,0.98378,0.009406,0.009406,0.009406
14,2192.07,1.19475,0.7686,0.94377,0.57117,0.65426,0.63402,0.43538,1.14683,0.69728,0.98406,0.0093565,0.0093565,0.0093565
15,2346.5,1.19027,0.75878,0.94404,0.60348,0.6509,0.65558,0.45116,1.14185,0.68373,0.98211,0.009307,0.009307,0.009307
16,2501.71,1.17838,0.75245,0.93921,0.62782,0.65696,0.65693,0.4521,1.13457,0.6835,0.98202,0.0092575,0.0092575,0.0092575
17,2673.21,1.17766,0.75166,0.93837,0.64916,0.66325,0.67359,0.46436,1.13362,0.6748,0.98439,0.009208,0.009208,0.009208
18,2865.13,1.16797,0.73479,0.9358,0.62534,0.67146,0.67446,0.47069,1.12601,0.66474,0.98083,0.0091585,0.0091585,0.0091585
19,3037.77,1.16215,0.73436,0.93716,0.65645,0.67262,0.68315,0.47946,1.12587,0.65744,0.98161,0.009109,0.009109,0.009109
20,3216.14,1.16,0.72897,0.93315,0.65298,0.66709,0.68218,0.47777,1.12011,0.66011,0.98109,0.0090595,0.0090595,0.0090595
21,3392.35,1.15634,0.72249,0.93131,0.66711,0.68417,0.70029,0.48989,1.11655,0.6507,0.98122,0.00901,0.00901,0.00901
22,3574.55,1.15565,0.72554,0.93266,0.66021,0.67818,0.6946,0.48809,1.11391,0.64981,0.9809,0.0089605,0.0089605,0.0089605
23,3748.68,1.14205,0.71295,0.92974,0.6723,0.67025,0.6953,0.4895,1.11404,0.6489,0.98126,0.008911,0.008911,0.008911
24,3926.2,1.14266,0.71155,0.92864,0.6606,0.68418,0.70362,0.49512,1.11146,0.64149,0.98188,0.0088615,0.0088615,0.0088615
25,4096.54,1.13912,0.70576,0.92781,0.6693,0.68838,0.70927,0.50156,1.11054,0.63656,0.98251,0.008812,0.008812,0.008812
26,4280.72,1.12705,0.69505,0.92369,0.65626,0.69982,0.7117,0.50356,1.10584,0.63148,0.97978,0.0087625,0.0087625,0.0087625
27,4470,1.12906,0.69897,0.9268,0.67431,0.6958,0.71611,0.50719,1.10188,0.63219,0.97955,0.008713,0.008713,0.008713
28,4630.26,1.12495,0.69331,0.9239,0.6747,0.71421,0.72095,0.51012,1.10052,0.62424,0.9806,0.0086635,0.0086635,0.0086635
29,4784.76,1.12695,0.69299,0.92385,0.66912,0.70249,0.71854,0.50873,1.10182,0.63005,0.98002,0.008614,0.008614,0.008614
30,4947.44,1.12616,0.68768,0.92427,0.66901,0.69993,0.72267,0.51337,1.10089,0.62395,0.97941,0.0085645,0.0085645,0.0085645
31,5131.05,1.12761,0.69044,0.92489,0.67037,0.70191,0.72624,0.51589,1.09746,0.62028,0.97997,0.008515,0.008515,0.008515
32,5303.87,1.11977,0.68354,0.9239,0.67555,0.70166,0.72388,0.51627,1.09493,0.62191,0.9789,0.0084655,0.0084655,0.0084655
33,5480.99,1.11749,0.68067,0.92149,0.69169,0.70977,0.72839,0.51979,1.09547,0.6179,0.98021,0.008416,0.008416,0.008416
34,5665.41,1.11516,0.67584,0.91985,0.70552,0.69546,0.73187,0.52271,1.09285,0.61641,0.97946,0.0083665,0.0083665,0.0083665
35,5845.1,1.11257,0.67545,0.91986,0.70081,0.7041,0.73182,0.5224,1.09154,0.61533,0.97945,0.008317,0.008317,0.008317
36,6000.01,1.10681,0.66689,0.92001,0.70178,0.70374,0.73401,0.52333,1.09094,0.61363,0.97969,0.0082675,0.0082675,0.0082675
37,6153.66,1.10156,0.66446,0.91673,0.70073,0.70121,0.73449,0.52552,1.08945,0.61192,0.97942,0.008218,0.008218,0.008218
38,6307.01,1.10378,0.66568,0.91934,0.70901,0.6994,0.74052,0.53001,1.08832,0.61055,0.97972,0.0081685,0.0081685,0.0081685
39,6459.81,1.09721,0.66153,0.91734,0.70598,0.70311,0.73968,0.52968,1.08693,0.61032,0.97931,0.008119,0.008119,0.008119
40,6613.33,1.10517,0.67287,0.9195,0.70241,0.70584,0.73824,0.52998,1.08542,0.60877,0.97968,0.0080695,0.0080695,0.0080695
41,6766.06,1.09809,0.6598,0.91613,0.69777,0.71253,0.73818,0.53079,1.08421,0.60896,0.97967,0.00802,0.00802,0.00802
42,6921.27,1.0947,0.65639,0.91708,0.69937,0.71286,0.74128,0.53277,1.08274,0.60766,0.97936,0.0079705,0.0079705,0.0079705
43,7074.53,1.09129,0.65718,0.91373,0.70413,0.71418,0.74512,0.53597,1.08209,0.6054,0.97919,0.007921,0.007921,0.007921
44,7228.83,1.09123,0.65474,0.9159,0.70738,0.71333,0.74662,0.53654,1.08135,0.60377,0.97894,0.0078715,0.0078715,0.0078715
45,7382.67,1.09141,0.65128,0.91467,0.71047,0.71256,0.74892,0.5376,1.08059,0.60292,0.97878,0.007822,0.007822,0.007822
46,7537.34,1.09175,0.65942,0.91656,0.71179,0.70981,0.74961,0.53947,1.07962,0.60159,0.97884,0.0077725,0.0077725,0.0077725
47,7700.36,1.09259,0.65275,0.91531,0.71664,0.70717,0.74977,0.54013,1.07911,0.60058,0.97893,0.007723,0.007723,0.007723
48,7871.84,1.08957,0.64918,0.91596,0.70872,0.71836,0.75101,0.54087,1.07904,0.60045,0.97917,0.0076735,0.0076735,0.0076735
49,8029.21,1.08653,0.64791,0.91429,0.71036,0.71543,0.75099,0.54061,1.07817,0.59978,0.97913,0.007624,0.007624,0.007624
50,8181.96,1.07544,0.63947,0.91202,0.7104,0.71585,0.75208,0.54163,1.07751,0.59911,0.97899,0.0075745,0.0075745,0.0075745
51,8339.09,1.07973,0.64464,0.91351,0.71216,0.71689,0.75387,0.54329,1.07686,0.59825,0.97865,0.007525,0.007525,0.007525
52,8492.89,1.07697,0.64382,0.91222,0.71404,0.71619,0.75366,0.5437,1.07658,0.59772,0.97863,0.0074755,0.0074755,0.0074755
53,8647.56,1.07033,0.63984,0.90994,0.71504,0.71674,0.75418,0.54464,1.07632,0.59703,0.97886,0.007426,0.007426,0.007426
