epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.785,4.57013,3.69541,3.43121,0.07174,0.06092,0.05303,0.01653,2.91057,2.58796,2.40816,0.0700267,0.00333037,0.00333037
2,329.796,1.97792,1.6357,1.62409,0.26889,0.28621,0.25091,0.14181,1.57438,1.19284,1.45889,0.0399937,0.00663072,0.00663072
3,468.09,1.54963,1.18681,1.3341,0.27276,0.37828,0.30196,0.1769,1.4447,1.06697,1.39209,0.0099277,0.00989807,0.00989807
4,604.669,1.43197,1.03268,1.26451,0.42005,0.44408,0.40467,0.25092,1.38246,0.9118,1.34726,0.0098515,0.0098515,0.0098515
5,741.649,1.35737,0.93531,1.22568,0.45988,0.48151,0.45856,0.28816,1.35919,0.84638,1.33592,0.009802,0.009802,0.009802
6,877.606,1.32226,0.8928,1.2033,0.51055,0.51694,0.50183,0.3254,1.34268,0.81582,1.32407,0.0097525,0.0097525,0.0097525
7,1013.89,1.28888,0.84057,1.17958,0.52391,0.51489,0.5182,0.33615,1.32215,0.80531,1.31574,0.009703,0.009703,0.009703
8,1150.25,1.26418,0.80989,1.16537,0.53259,0.56192,0.54176,0.35749,1.31303,0.76262,1.31186,0.0096535,0.0096535,0.0096535
9,1287.17,1.25882,0.79413,1.16526,0.54435,0.57828,0.57219,0.38139,1.30295,0.74542,1.31202,0.009604,0.009604,0.009604
10,1423.06,1.24424,0.78031,1.15821,0.59704,0.59566,0.59886,0.39571,1.30196,0.72621,1.31273,0.0095545,0.0095545,0.0095545
11,1559.8,1.23244,0.76295,1.14788,0.58296,0.61382,0.60205,0.40353,1.29061,0.71194,1.30903,0.009505,0.009505,0.009505
12,1695.07,1.22541,0.74105,1.14329,0.60777,0.61344,0.62345,0.41891,1.289,0.69982,1.30435,0.0094555,0.0094555,0.0094555
13,1830.8,1.22453,0.74395,1.15182,0.62929,0.63843,0.63516,0.42785,1.27517,0.69367,1.29362,0.009406,0.009406,0.009406
14,1967.23,1.21587,0.72736,1.13863,0.60744,0.64277,0.6352,0.42736,1.27708,0.68539,1.30207,0.0093565,0.0093565,0.0093565
15,2102.22,1.20514,0.71007,1.13743,0.65698,0.63938,0.65639,0.44603,1.27516,0.6756,1.29921,0.009307,0.009307,0.009307
16,2238.33,1.19717,0.70797,1.13053,0.63578,0.63406,0.6487,0.44382,1.27105,0.67827,1.29365,0.0092575,0.0092575,0.0092575
17,2373.22,1.19016,0.70157,1.12731,0.65687,0.66704,0.66884,0.45761,1.26825,0.66293,1.29838,0.009208,0.009208,0.009208
18,2509.69,1.18926,0.69437,1.12592,0.67169,0.67295,0.68591,0.47031,1.26741,0.65626,1.29381,0.0091585,0.0091585,0.0091585
19,2645.29,1.18926,0.69411,1.12798,0.67328,0.67027,0.68908,0.47376,1.26414,0.65329,1.29606,0.009109,0.009109,0.009109
20,2782.06,1.17145,0.67669,1.11451,0.68287,0.67295,0.68775,0.47632,1.26267,0.64301,1.28678,0.0090595,0.0090595,0.0090595
21,2917.34,1.17218,0.67511,1.11222,0.69232,0.66974,0.69106,0.47878,1.26007,0.6435,1.292,0.00901,0.00901,0.00901
22,3053.68,1.16917,0.67617,1.11385,0.69947,0.67205,0.70111,0.48717,1.25645,0.63546,1.28764,0.0089605,0.0089605,0.0089605
23,3189.27,1.15772,0.66118,1.10774,0.68565,0.68487,0.70159,0.48884,1.2556,0.63553,1.29005,0.008911,0.008911,0.008911
24,3325.65,1.15979,0.65849,1.10683,0.6981,0.67097,0.7002,0.48863,1.25163,0.6347,1.28542,0.0088615,0.0088615,0.0088615
25,3460.29,1.1544,0.65166,1.106,0.7313,0.66294,0.70971,0.49472,1.25182,0.62912,1.28754,0.008812,0.008812,0.008812
26,3596.36,1.15544,0.65009,1.10646,0.718,0.68558,0.71919,0.50268,1.25223,0.6226,1.28766,0.0087625,0.0087625,0.0087625
27,3732.8,1.13875,0.64406,1.10072,0.74174,0.67922,0.72157,0.5049,1.24657,0.61863,1.28519,0.008713,0.008713,0.008713
28,3868.77,1.14764,0.64515,1.10343,0.718,0.69363,0.71996,0.5062,1.24428,0.61983,1.28369,0.0086635,0.0086635,0.0086635
29,4004.51,1.14573,0.64193,1.09982,0.71994,0.70285,0.72774,0.50909,1.23772,0.61457,1.28042,0.008614,0.008614,0.008614
30,4140.18,1.14115,0.6357,1.09831,0.73487,0.69319,0.73451,0.51467,1.24337,0.60909,1.28336,0.0085645,0.0085645,0.0085645
31,4275.98,1.14139,0.63388,1.10025,0.73072,0.69225,0.73217,0.51374,1.2402,0.60851,1.28163,0.008515,0.008515,0.008515
32,4410.7,1.13764,0.63154,1.09948,0.71948,0.71009,0.7418,0.52302,1.23727,0.60791,1.28131,0.0084655,0.0084655,0.0084655
33,4546.34,1.13035,0.62535,1.09326,0.73443,0.70422,0.74508,0.52396,1.23464,0.60199,1.2803,0.008416,0.008416,0.008416
34,4682.62,1.13274,0.62323,1.09282,0.71783,0.72114,0.74274,0.5258,1.23306,0.60195,1.27812,0.0083665,0.0083665,0.0083665
35,4828.17,1.13242,0.61933,1.09398,0.73352,0.70883,0.74521,0.52574,1.23146,0.59923,1.27855,0.008317,0.008317,0.008317
36,4964.14,1.11719,0.61,1.08587,0.72508,0.71174,0.74384,0.52573,1.23439,0.59997,1.28261,0.0082675,0.0082675,0.0082675
37,5098.47,1.12002,0.60849,1.08702,0.72766,0.72135,0.74719,0.52985,1.22962,0.59542,1.27886,0.008218,0.008218,0.008218
38,5234.26,1.12405,0.61116,1.09205,0.7253,0.71613,0.74666,0.53034,1.23072,0.59569,1.27887,0.0081685,0.0081685,0.0081685
39,5369.96,1.1179,0.60754,1.08658,0.73747,0.7181,0.74856,0.53197,1.22876,0.59484,1.27807,0.008119,0.008119,0.008119
40,5506.91,1.11898,0.61115,1.08748,0.7348,0.72058,0.74835,0.53167,1.2285,0.59402,1.27823,0.0080695,0.0080695,0.0080695
41,5641.93,1.11783,0.60509,1.08735,0.7224,0.72963,0.75042,0.53461,1.22745,0.59261,1.27844,0.00802,0.00802,0.00802
42,5789.8,1.11218,0.59737,1.08773,0.72046,0.73182,0.7536,0.53708,1.22706,0.58923,1.27873,0.0079705,0.0079705,0.0079705
43,5929.77,1.11226,0.60265,1.082,0.72594,0.73178,0.75599,0.5397,1.22628,0.58758,1.28015,0.007921,0.007921,0.007921
44,6066.12,1.10863,0.59498,1.0828,0.72453,0.73826,0.75791,0.5404,1.22544,0.58703,1.28049,0.0078715,0.0078715,0.0078715
45,6203.94,1.1091,0.5944,1.08411,0.72841,0.73442,0.75793,0.54062,1.2254,0.58627,1.28046,0.007822,0.007822,0.007822
46,6344.58,1.10881,0.60048,1.08436,0.7327,0.73274,0.75918,0.5425,1.22316,0.58507,1.27907,0.0077725,0.0077725,0.0077725
47,6480.73,1.10376,0.59258,1.07727,0.73279,0.73555,0.75926,0.54287,1.22228,0.58425,1.27888,0.007723,0.007723,0.007723
48,6616.96,1.11337,0.59546,1.08507,0.741,0.72659,0.76112,0.54493,1.22163,0.58313,1.27846,0.0076735,0.0076735,0.0076735
49,6771.11,1.10101,0.58861,1.07838,0.74857,0.72175,0.76111,0.54551,1.22108,0.58317,1.27821,0.007624,0.007624,0.007624
50,6910.03,1.0885,0.57874,1.07465,0.75103,0.72095,0.76318,0.54693,1.22064,0.5821,1.27803,0.0075745,0.0075745,0.0075745
51,7046.41,1.10242,0.58597,1.08165,0.7548,0.72273,0.76422,0.54819,1.21979,0.58097,1.27762,0.007525,0.007525,0.007525
52,7182.06,1.09305,0.5829,1.07576,0.75775,0.72383,0.76404,0.5483,1.21877,0.58041,1.27722,0.0074755,0.0074755,0.0074755
53,7317.52,1.08758,0.57882,1.07253,0.75914,0.72144,0.76395,0.54854,1.21896,0.58005,1.27743,0.007426,0.007426,0.007426
54,7465.85,1.09503,0.58342,1.07703,0.74161,0.72982,0.76391,0.54923,1.21846,0.57939,1.27689,0.0073765,0.0073765,0.0073765
55,7605.62,1.08641,0.57647,1.0751,0.74722,0.72537,0.76471,0.55053,1.21817,0.57872,1.27696,0.007327,0.007327,0.007327
56,7741.93,1.08036,0.56818,1.0706,0.75232,0.72466,0.76614,0.55103,1.21755,0.57797,1.27681,0.0072775,0.0072775,0.0072775
57,7877.89,1.0937,0.57259,1.07667,0.73973,0.73136,0.76629,0.55135,1.2175,0.57762,1.27674,0.007228,0.007228,0.007228
58,8022.48,1.08128,0.56958,1.06733,0.75979,0.72078,0.76631,0.55161,1.21746,0.57708,1.27667,0.0071785,0.0071785,0.0071785
59,8163.5,1.09109,0.56892,1.07263,0.76594,0.71666,0.76738,0.55221,1.21694,0.57669,1.27661,0.007129,0.007129,0.007129
60,8300.1,1.08809,0.57466,1.07518,0.76707,0.71707,0.76804,0.55267,1.21642,0.57611,1.27617,0.0070795,0.0070795,0.0070795
61,8437.13,1.07352,0.56491,1.06435,0.76847,0.71712,0.76906,0.55325,1.21577,0.57539,1.27568,0.00703,0.00703,0.00703
62,8574.28,1.0875,0.57084,1.06979,0.77004,0.71811,0.77019,0.55432,1.21561,0.57495,1.27563,0.0069805,0.0069805,0.0069805
63,8710.84,1.08056,0.56962,1.06321,0.77142,0.71817,0.77012,0.55451,1.2155,0.57455,1.27568,0.006931,0.006931,0.006931
64,8846.51,1.08908,0.57754,1.06709,0.77214,0.71754,0.77057,0.55509,1.21527,0.57384,1.27559,0.0068815,0.0068815,0.0068815
65,8995.09,1.08596,0.57181,1.06581,0.77596,0.71487,0.77091,0.55564,1.21497,0.5731,1.2756,0.006832,0.006832,0.006832
66,9135.11,1.08854,0.57146,1.06804,0.77534,0.71573,0.77093,0.55611,1.21466,0.57257,1.27539,0.0067825,0.0067825,0.0067825
67,9272.57,1.07379,0.56236,1.05639,0.77191,0.7175,0.77119,0.55651,1.21432,0.57219,1.27527,0.006733,0.006733,0.006733
68,9407.55,1.07196,0.56192,1.0588,0.77485,0.71852,0.77152,0.55715,1.21428,0.57175,1.27531,0.0066835,0.0066835,0.0066835
69,9542.83,1.06937,0.5551,1.05484,0.77115,0.72064,0.77145,0.55712,1.21404,0.57134,1.275,0.006634,0.006634,0.006634
70,9678.04,1.08326,0.56228,1.06092,0.77088,0.7222,0.77128,0.5572,1.21404,0.57105,1.27494,0.0065845,0.0065845,0.0065845
71,9814.27,1.0756,0.56108,1.05738,0.77418,0.72099,0.7714,0.55738,1.21397,0.57091,1.27503,0.006535,0.006535,0.006535
72,9952.15,1.07408,0.56214,1.05638,0.77372,0.72038,0.77201,0.55769,1.21368,0.57023,1.27494,0.0064855,0.0064855,0.0064855
73,10095.6,1.06858,0.55778,1.05528,0.77073,0.7235,0.77223,0.55793,1.21335,0.56976,1.27477,0.006436,0.006436,0.006436
74,10234.3,1.07319,0.55844,1.05698,0.76985,0.72418,0.77236,0.55819,1.21305,0.56927,1.27452,0.0063865,0.0063865,0.0063865
75,10371.6,1.0657,0.55365,1.05579,0.77011,0.72476,0.77265,0.55863,1.21288,0.56872,1.27432,0.006337,0.006337,0.006337
76,10508.6,1.05938,0.54887,1.05108,0.77142,0.72504,0.77303,0.55882,1.2127,0.56809,1.27419,0.0062875,0.0062875,0.0062875
77,10645.7,1.05815,0.54764,1.05082,0.7727,0.72393,0.77346,0.55955,1.21262,0.56779,1.2742,0.006238,0.006238,0.006238
78,10793,1.06581,0.5497,1.05422,0.75293,0.73508,0.77374,0.55961,1.21235,0.5674,1.274,0.0061885,0.0061885,0.0061885
79,10933.3,1.06035,0.54495,1.04638,0.75093,0.73627,0.77383,0.55983,1.21208,0.56697,1.27392,0.006139,0.006139,0.006139
80,11070.9,1.04969,0.5419,1.04383,0.75183,0.73713,0.77412,0.55993,1.21197,0.56637,1.27383,0.0060895,0.0060895,0.0060895
81,11207.8,1.06282,0.54463,1.05122,0.75216,0.73855,0.77473,0.5603,1.21175,0.56596,1.27362,0.00604,0.00604,0.00604
82,11345.1,1.06387,0.54966,1.05378,0.77146,0.72271,0.775,0.56076,1.21153,0.56547,1.27338,0.0059905,0.0059905,0.0059905
83,11494.3,1.05414,0.5395,1.04795,0.75004,0.7408,0.77512,0.56121,1.2113,0.56527,1.27312,0.005941,0.005941,0.005941
84,11634.2,1.05401,0.54005,1.05004,0.74785,0.74149,0.77569,0.56118,1.21111,0.56473,1.27304,0.0058915,0.0058915,0.0058915
85,11771,1.05788,0.54436,1.0489,0.7435,0.74566,0.77582,0.56165,1.21099,0.56419,1.27283,0.005842,0.005842,0.005842
86,11918,1.04744,0.53266,1.04616,0.75089,0.74093,0.77603,0.5619,1.21075,0.56352,1.27248,0.0057925,0.0057925,0.0057925
87,12062.8,1.04949,0.53295,1.04454,0.76068,0.7375,0.77665,0.56219,1.21066,0.56293,1.27242,0.005743,0.005743,0.005743
88,12200.9,1.04422,0.53319,1.04277,0.75999,0.73851,0.77721,0.56276,1.21037,0.56249,1.27217,0.0056935,0.0056935,0.0056935
89,12338.1,1.05366,0.53577,1.04581,0.76042,0.73833,0.77694,0.56301,1.21013,0.56227,1.27181,0.005644,0.005644,0.005644
