epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.918,3.67211,3.01902,2.75766,0.36985,0.10052,0.11966,0.05589,2.31221,1.88027,1.95765,0.0700267,0.00333037,0.00333037
2,293.834,1.85538,1.50123,1.53675,0.27027,0.29978,0.25653,0.14558,1.54501,1.14359,1.44255,0.0399937,0.00663072,0.00663072
3,421.311,1.54571,1.17277,1.32769,0.35439,0.37945,0.32042,0.18478,1.46573,1.06612,1.39445,0.0099277,0.00989807,0.00989807
4,549.368,1.43567,1.029,1.26399,0.40749,0.43493,0.3887,0.23776,1.40843,0.9217,1.37275,0.0098515,0.0098515,0.0098515
5,676.414,1.36055,0.94011,1.22484,0.48123,0.4834,0.45356,0.28243,1.36818,0.87176,1.33477,0.009802,0.009802,0.009802
6,801.028,1.32466,0.89764,1.20328,0.50822,0.49739,0.49273,0.31182,1.34755,0.83381,1.32055,0.0097525,0.0097525,0.0097525
7,925.564,1.29191,0.84496,1.1799,0.54167,0.5322,0.5327,0.3426,1.32803,0.80682,1.31362,0.009703,0.009703,0.009703
8,1048.76,1.26987,0.81558,1.16615,0.55304,0.5636,0.54479,0.35311,1.32019,0.77217,1.30914,0.0096535,0.0096535,0.0096535
9,1171.75,1.26449,0.80172,1.16647,0.55305,0.58534,0.57176,0.37581,1.30628,0.7487,1.30362,0.009604,0.009604,0.009604
10,1296.19,1.24885,0.78673,1.15911,0.60433,0.58206,0.58585,0.38568,1.3131,0.75106,1.31529,0.0095545,0.0095545,0.0095545
11,1419.19,1.23867,0.76988,1.1497,0.60173,0.62661,0.61775,0.4094,1.28995,0.71694,1.2983,0.009505,0.009505,0.009505
12,1540.42,1.2313,0.74767,1.1448,0.61632,0.61839,0.62638,0.41715,1.29033,0.70717,1.29853,0.0094555,0.0094555,0.0094555
13,1663.4,1.23188,0.75114,1.15448,0.63506,0.63711,0.64102,0.43036,1.28416,0.69654,1.30248,0.009406,0.009406,0.009406
14,1784.6,1.21967,0.73573,1.13886,0.63846,0.65333,0.65534,0.43815,1.27554,0.68924,1.29588,0.0093565,0.0093565,0.0093565
15,1906.58,1.21222,0.71775,1.13938,0.66531,0.64381,0.65681,0.443,1.27705,0.68304,1.296,0.009307,0.009307,0.009307
16,2030.34,1.20271,0.71535,1.13184,0.64979,0.65504,0.66285,0.44977,1.26596,0.67911,1.28455,0.0092575,0.0092575,0.0092575
17,2151.78,1.198,0.71175,1.13027,0.67667,0.64775,0.67715,0.45918,1.27001,0.67159,1.29038,0.009208,0.009208,0.009208
18,2273.26,1.198,0.70453,1.12893,0.66425,0.67274,0.67891,0.4616,1.26787,0.6663,1.29472,0.0091585,0.0091585,0.0091585
19,2393.36,1.19724,0.70375,1.13067,0.67569,0.66635,0.68582,0.46685,1.27381,0.66133,1.29367,0.009109,0.009109,0.009109
20,2518.16,1.17955,0.6875,1.11716,0.6687,0.69133,0.69646,0.4744,1.2679,0.65342,1.29114,0.0090595,0.0090595,0.0090595
21,2641.55,1.18083,0.68407,1.11599,0.70063,0.67888,0.70571,0.48367,1.26529,0.64375,1.29117,0.00901,0.00901,0.00901
22,2760.89,1.1753,0.68444,1.11579,0.70673,0.67722,0.69999,0.47975,1.26393,0.65111,1.28983,0.0089605,0.0089605,0.0089605
23,2880.49,1.16639,0.67195,1.1112,0.6924,0.68761,0.7062,0.48516,1.25741,0.6439,1.28869,0.008911,0.008911,0.008911
24,3000.77,1.16855,0.66969,1.10963,0.70599,0.67876,0.70652,0.48575,1.25198,0.63893,1.28302,0.0088615,0.0088615,0.0088615
25,3121.36,1.1629,0.66251,1.10891,0.70107,0.68402,0.70519,0.48834,1.25656,0.63785,1.28711,0.008812,0.008812,0.008812
26,3242.55,1.16422,0.66086,1.109,0.70511,0.6894,0.71707,0.49685,1.254,0.63419,1.2844,0.0087625,0.0087625,0.0087625
27,3364.08,1.1461,0.65504,1.1034,0.71668,0.68989,0.7136,0.49293,1.25046,0.62948,1.28588,0.008713,0.008713,0.008713
28,3485.74,1.15352,0.65426,1.10512,0.7299,0.68617,0.71965,0.49861,1.24674,0.62804,1.28353,0.0086635,0.0086635,0.0086635
29,3609.38,1.15063,0.65103,1.10144,0.71587,0.68938,0.72617,0.50273,1.24476,0.62468,1.28293,0.008614,0.008614,0.008614
30,3732.07,1.1483,0.64532,1.10109,0.71811,0.69698,0.72783,0.50629,1.24864,0.62123,1.28503,0.0085645,0.0085645,0.0085645
31,3854.23,1.15003,0.64556,1.1027,0.72205,0.6885,0.72481,0.50461,1.24621,0.62147,1.28374,0.008515,0.008515,0.008515
32,3976.43,1.14953,0.64705,1.10232,0.71256,0.70726,0.72954,0.5095,1.2444,0.62422,1.28194,0.0084655,0.0084655,0.0084655
33,4099.14,1.14257,0.64512,1.09402,0.72246,0.69955,0.73511,0.51411,1.24313,0.61927,1.27975,0.008416,0.008416,0.008416
34,4222.61,1.14451,0.64289,1.09175,0.73362,0.70422,0.73946,0.51792,1.24054,0.6172,1.27731,0.0083665,0.0083665,0.0083665
35,4343.44,1.14611,0.6403,1.09304,0.71176,0.71433,0.73686,0.51601,1.2405,0.61682,1.27807,0.008317,0.008317,0.008317
36,4465.58,1.13037,0.63084,1.08402,0.72308,0.70648,0.73535,0.51466,1.241,0.61738,1.28062,0.0082675,0.0082675,0.0082675
37,4588.61,1.13387,0.62939,1.08437,0.73568,0.70253,0.74084,0.51939,1.23764,0.61328,1.27742,0.008218,0.008218,0.008218
38,4714.02,1.13746,0.63015,1.08846,0.74146,0.7021,0.74148,0.52094,1.23419,0.61124,1.27572,0.0081685,0.0081685,0.0081685
39,4839.39,1.12873,0.62814,1.08236,0.72664,0.7143,0.74316,0.52284,1.23567,0.61026,1.27772,0.008119,0.008119,0.008119
40,4960.43,1.13023,0.62949,1.08408,0.74521,0.69801,0.74432,0.52556,1.23661,0.61013,1.27783,0.0080695,0.0080695,0.0080695
41,5085.59,1.12929,0.62409,1.08259,0.75263,0.69388,0.74297,0.52575,1.23612,0.61019,1.27828,0.00802,0.00802,0.00802
42,5208.76,1.12377,0.61741,1.0829,0.74546,0.70015,0.74631,0.52739,1.23529,0.60862,1.27861,0.0079705,0.0079705,0.0079705
43,5334.21,1.1241,0.62191,1.07748,0.74979,0.69802,0.74686,0.52776,1.23369,0.60709,1.27893,0.007921,0.007921,0.007921
44,5455.71,1.12294,0.61547,1.07937,0.7397,0.70875,0.74806,0.52845,1.23367,0.60669,1.27968,0.0078715,0.0078715,0.0078715
45,5576.03,1.12298,0.6153,1.08066,0.74887,0.70873,0.74874,0.52896,1.23195,0.60554,1.27752,0.007822,0.007822,0.007822
46,5697.54,1.12211,0.62115,1.08023,0.75326,0.70323,0.75003,0.53088,1.23081,0.60459,1.27682,0.0077725,0.0077725,0.0077725
47,5818.45,1.11811,0.61287,1.07402,0.75633,0.70253,0.75028,0.53174,1.23054,0.60408,1.27635,0.007723,0.007723,0.007723
48,5940.14,1.12617,0.61497,1.08134,0.72276,0.72512,0.7511,0.5335,1.22951,0.6039,1.27539,0.0076735,0.0076735,0.0076735
49,6060.95,1.11326,0.6078,1.07387,0.73613,0.71768,0.7519,0.53406,1.22913,0.60405,1.27562,0.007624,0.007624,0.007624
50,6180.34,1.10236,0.5985,1.0707,0.72362,0.731,0.75307,0.53446,1.22857,0.6038,1.2754,0.0075745,0.0075745,0.0075745
51,6303.66,1.11561,0.60588,1.07705,0.73005,0.73079,0.75346,0.53542,1.22826,0.60315,1.27513,0.007525,0.007525,0.007525
