epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.404,3.46828,2.86078,2.5917,0.12545,0.08902,0.10344,0.04624,2.32007,1.9253,1.96125,0.0700267,0.00333037,0.00333037
2,211.944,1.88044,1.5515,1.54116,0.22728,0.25329,0.22837,0.12549,1.5994,1.24175,1.47036,0.0399937,0.00663072,0.00663072
3,308.919,1.59232,1.24798,1.35334,0.2622,0.35018,0.29021,0.16524,1.49357,1.07986,1.41174,0.0099277,0.00989807,0.00989807
4,405.413,1.48017,1.10306,1.28667,0.3314,0.40619,0.33667,0.20545,1.41759,0.99238,1.36314,0.0098515,0.0098515,0.0098515
5,500.712,1.40613,1.00447,1.24812,0.41571,0.46314,0.40486,0.2461,1.39076,0.91319,1.3567,0.009802,0.009802,0.009802
6,596.259,1.36868,0.96281,1.22381,0.4604,0.48117,0.4371,0.27186,1.36945,0.87266,1.33392,0.0097525,0.0097525,0.0097525
7,690.093,1.336,0.90856,1.20049,0.48977,0.50467,0.48884,0.31175,1.34499,0.84287,1.32784,0.009703,0.009703,0.009703
8,788.819,1.31201,0.87782,1.1865,0.51862,0.51921,0.50639,0.32635,1.35312,0.83812,1.33332,0.0096535,0.0096535,0.0096535
9,885.522,1.30648,0.86386,1.18699,0.50107,0.5513,0.51895,0.33736,1.32999,0.80071,1.32394,0.009604,0.009604,0.009604
10,981.176,1.28994,0.84727,1.17805,0.55996,0.55105,0.54914,0.35734,1.33158,0.78244,1.32869,0.0095545,0.0095545,0.0095545
11,1074.02,1.27958,0.82997,1.16886,0.5574,0.5586,0.5624,0.36668,1.31888,0.76837,1.32044,0.009505,0.009505,0.009505
12,1168.07,1.27232,0.80885,1.16377,0.55734,0.58552,0.57245,0.37393,1.31089,0.76228,1.31246,0.0094555,0.0094555,0.0094555
13,1259.51,1.27269,0.81318,1.17274,0.57709,0.59555,0.59254,0.38963,1.30402,0.74253,1.30809,0.009406,0.009406,0.009406
14,1351.58,1.26161,0.7976,1.15808,0.58272,0.61284,0.6029,0.39464,1.30043,0.73831,1.30893,0.0093565,0.0093565,0.0093565
15,1448.66,1.25345,0.77935,1.15787,0.60587,0.60515,0.60933,0.40073,1.29996,0.73013,1.31118,0.009307,0.009307,0.009307
16,1542.85,1.24412,0.77472,1.14975,0.62318,0.61456,0.62956,0.41611,1.2897,0.71829,1.3033,0.0092575,0.0092575,0.0092575
17,1638.11,1.24007,0.77306,1.14845,0.64748,0.62183,0.63452,0.41959,1.291,0.7165,1.30587,0.009208,0.009208,0.009208
18,1731.74,1.23986,0.76463,1.14722,0.61772,0.62526,0.63169,0.42132,1.28917,0.7126,1.30584,0.0091585,0.0091585,0.0091585
19,1825.75,1.24215,0.76542,1.1503,0.65133,0.64207,0.64892,0.43481,1.29609,0.70419,1.3088,0.009109,0.009109,0.009109
20,1920.39,1.22458,0.74897,1.13617,0.64884,0.64774,0.65823,0.4414,1.28594,0.69619,1.30167,0.0090595,0.0090595,0.0090595
