epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.937,4.62674,3.81693,3.56827,0.07429,0.06593,0.0582,0.02051,2.76694,2.54177,2.28573,0.0700267,0.00333037,0.00333037
2,417.862,1.90381,1.57607,1.59202,0.27863,0.32726,0.27152,0.15665,1.50924,1.11739,1.42661,0.0399937,0.00663072,0.00663072
3,610.792,1.50891,1.13239,1.31355,0.38513,0.35839,0.34402,0.20533,1.43144,1.00966,1.39015,0.0099277,0.00989807,0.00989807
4,797.582,1.4011,0.98806,1.25135,0.43053,0.48104,0.42821,0.26645,1.37753,0.89272,1.35468,0.0098515,0.0098515,0.0098515
5,982.79,1.33116,0.89925,1.21598,0.50634,0.50992,0.49284,0.31046,1.35664,0.84105,1.34307,0.009802,0.009802,0.009802
6,1181.91,1.29633,0.85707,1.19421,0.54335,0.56434,0.5377,0.34634,1.33434,0.78129,1.33,0.0097525,0.0097525,0.0097525
7,1373.3,1.26607,0.80492,1.17302,0.54659,0.5686,0.55875,0.36632,1.31497,0.77499,1.318,0.009703,0.009703,0.009703
8,1560.29,1.24224,0.77521,1.15809,0.59487,0.57544,0.59251,0.39108,1.29932,0.7328,1.32029,0.0096535,0.0096535,0.0096535
9,1758.49,1.23831,0.76219,1.15907,0.5827,0.61158,0.60181,0.40344,1.28974,0.71561,1.30714,0.009604,0.009604,0.009604
10,1958,1.22364,0.74859,1.15304,0.60421,0.61406,0.60897,0.40831,1.29289,0.70515,1.32244,0.0095545,0.0095545,0.0095545
11,2154.03,1.2123,0.7302,1.1427,0.63337,0.64789,0.63651,0.42541,1.27681,0.68442,1.30556,0.009505,0.009505,0.009505
12,2348.16,1.20603,0.7095,1.1388,0.63328,0.64819,0.64011,0.43527,1.27245,0.68362,1.30471,0.0094555,0.0094555,0.0094555
13,2544.96,1.2068,0.71365,1.14967,0.64741,0.66434,0.66066,0.44741,1.26882,0.66946,1.30092,0.009406,0.009406,0.009406
14,2742.3,1.19557,0.69761,1.13438,0.65645,0.65507,0.66369,0.44655,1.26862,0.66521,1.31383,0.0093565,0.0093565,0.0093565
15,2934.3,1.18764,0.68098,1.1344,0.68318,0.6596,0.68112,0.46788,1.26685,0.65976,1.30842,0.009307,0.009307,0.009307
16,3129.84,1.17878,0.67997,1.12702,0.6772,0.66392,0.67412,0.46249,1.25802,0.65638,1.29724,0.0092575,0.0092575,0.0092575
17,3331.42,1.17247,0.67394,1.12484,0.68779,0.67669,0.69469,0.47582,1.26101,0.64634,1.29979,0.009208,0.009208,0.009208
18,3539.17,1.17232,0.66775,1.12373,0.69929,0.68565,0.70364,0.48429,1.25589,0.63844,1.29993,0.0091585,0.0091585,0.0091585
19,3734.51,1.17086,0.66488,1.12514,0.70942,0.68771,0.7106,0.48632,1.25877,0.63252,1.30252,0.009109,0.009109,0.009109
20,3930.91,1.15445,0.64922,1.1118,0.69739,0.68779,0.70991,0.49266,1.25953,0.62979,1.30336,0.0090595,0.0090595,0.0090595
21,4124.81,1.15609,0.64765,1.10975,0.71837,0.68932,0.72143,0.49933,1.25462,0.62398,1.29988,0.00901,0.00901,0.00901
22,4321.26,1.15097,0.64741,1.1113,0.71153,0.68421,0.71482,0.49759,1.25377,0.62111,1.2978,0.0089605,0.0089605,0.0089605
23,4512.99,1.14196,0.63554,1.1068,0.7072,0.69804,0.7252,0.50536,1.24514,0.61913,1.2947,0.008911,0.008911,0.008911
24,4709.95,1.1431,0.63252,1.10488,0.71796,0.68248,0.72118,0.50202,1.24615,0.6157,1.29862,0.0088615,0.0088615,0.0088615
25,4902.28,1.13843,0.62632,1.10513,0.70993,0.68943,0.72066,0.50173,1.25445,0.61824,1.29991,0.008812,0.008812,0.008812
26,5105.56,1.13992,0.62573,1.10473,0.69669,0.70469,0.73339,0.51335,1.24928,0.61196,1.29854,0.0087625,0.0087625,0.0087625
27,5300.6,1.12168,0.61804,1.09966,0.73068,0.70601,0.73856,0.51617,1.24242,0.60298,1.29757,0.008713,0.008713,0.008713
28,5494.63,1.1297,0.61909,1.10134,0.70484,0.71984,0.73836,0.52067,1.23492,0.60028,1.29332,0.0086635,0.0086635,0.0086635
29,5687.84,1.1278,0.61474,1.09749,0.73066,0.70423,0.74327,0.52409,1.23149,0.59803,1.29163,0.008614,0.008614,0.008614
30,5880.55,1.12342,0.61023,1.09621,0.72581,0.70524,0.74604,0.52476,1.23809,0.59613,1.29354,0.0085645,0.0085645,0.0085645
31,6077.13,1.12347,0.60903,1.09747,0.7463,0.69869,0.74556,0.52349,1.23452,0.59556,1.29254,0.008515,0.008515,0.008515
32,6266.29,1.12036,0.60628,1.09806,0.75001,0.70163,0.74609,0.52669,1.23258,0.59767,1.28946,0.0084655,0.0084655,0.0084655
33,6460.6,1.11357,0.60055,1.09195,0.75296,0.70261,0.75407,0.53378,1.23147,0.58923,1.29253,0.008416,0.008416,0.008416
34,6654.9,1.1145,0.59713,1.0908,0.73074,0.72518,0.75712,0.53897,1.22875,0.58834,1.28984,0.0083665,0.0083665,0.0083665
35,6860.93,1.11394,0.59498,1.09173,0.74129,0.71912,0.76137,0.5415,1.22859,0.58674,1.28926,0.008317,0.008317,0.008317
36,7054.66,1.09897,0.58632,1.08406,0.7397,0.71345,0.7558,0.53772,1.22524,0.58602,1.29206,0.0082675,0.0082675,0.0082675
37,7257.59,1.10193,0.58336,1.08483,0.74528,0.70859,0.75882,0.54064,1.22356,0.58355,1.2885,0.008218,0.008218,0.008218
38,7450.48,1.1066,0.58574,1.09062,0.7274,0.72821,0.75895,0.542,1.22181,0.58308,1.28817,0.0081685,0.0081685,0.0081685
39,7645.52,1.09817,0.58408,1.08367,0.71669,0.73357,0.75716,0.5393,1.22111,0.58396,1.28847,0.008119,0.008119,0.008119
40,7837.07,1.09988,0.58533,1.08558,0.72329,0.72608,0.75878,0.54243,1.22042,0.58167,1.28812,0.0080695,0.0080695,0.0080695
41,8034.07,1.09752,0.58037,1.08327,0.73129,0.72199,0.75805,0.54339,1.2188,0.58142,1.2895,0.00802,0.00802,0.00802
42,8251.16,1.09258,0.57287,1.08504,0.74592,0.71619,0.76183,0.54474,1.21921,0.58071,1.29103,0.0079705,0.0079705,0.0079705
43,8449.42,1.09335,0.5766,1.0788,0.74122,0.72851,0.76542,0.5481,1.2191,0.57944,1.2909,0.007921,0.007921,0.007921
44,8645.66,1.09211,0.57203,1.08124,0.74006,0.73307,0.76724,0.54924,1.21898,0.5786,1.29159,0.0078715,0.0078715,0.0078715
45,8840.02,1.08941,0.56871,1.08077,0.7412,0.73477,0.76818,0.55034,1.21854,0.57708,1.29076,0.007822,0.007822,0.007822
46,9040.17,1.0901,0.57606,1.08215,0.75096,0.72783,0.76878,0.55111,1.21736,0.57551,1.2905,0.0077725,0.0077725,0.0077725
47,9238.32,1.08525,0.56803,1.07586,0.74875,0.72908,0.76764,0.55105,1.21678,0.57484,1.29057,0.007723,0.007723,0.007723
48,9433.53,1.09275,0.56878,1.08263,0.74341,0.73172,0.76841,0.55165,1.21637,0.57462,1.28985,0.0076735,0.0076735,0.0076735
49,9643.33,1.08173,0.56267,1.07538,0.75469,0.72905,0.76906,0.55238,1.21507,0.57363,1.28928,0.007624,0.007624,0.007624
50,9841.78,1.06922,0.5544,1.07206,0.75544,0.7319,0.769,0.55308,1.21425,0.57302,1.28888,0.0075745,0.0075745,0.0075745
51,10041.1,1.08147,0.56039,1.07873,0.76173,0.72592,0.77021,0.55387,1.21309,0.57257,1.28801,0.007525,0.007525,0.007525
52,10238.4,1.07268,0.55656,1.07305,0.75778,0.73343,0.77038,0.55484,1.21235,0.57213,1.28777,0.0074755,0.0074755,0.0074755
53,10435.8,1.06607,0.55385,1.06933,0.76214,0.7284,0.7708,0.55485,1.21278,0.57201,1.28843,0.007426,0.007426,0.007426
54,10636.4,1.07416,0.55811,1.07412,0.76175,0.73366,0.7719,0.5564,1.21198,0.57103,1.28789,0.0073765,0.0073765,0.0073765
55,10832.6,1.06763,0.55155,1.07275,0.76512,0.72902,0.77197,0.55712,1.2112,0.57067,1.28755,0.007327,0.007327,0.007327
56,11041.2,1.06072,0.54289,1.06805,0.7735,0.72519,0.77258,0.55753,1.21047,0.56979,1.28725,0.0072775,0.0072775,0.0072775
57,11239.6,1.07073,0.54586,1.07211,0.77788,0.72284,0.77341,0.55888,1.21014,0.56902,1.28746,0.007228,0.007228,0.007228
58,11435.8,1.0615,0.54471,1.06517,0.77779,0.72302,0.77392,0.55883,1.20998,0.5684,1.2873,0.0071785,0.0071785,0.0071785
59,11634.2,1.06954,0.54132,1.06841,0.77495,0.72234,0.77425,0.5595,1.2097,0.56784,1.28723,0.007129,0.007129,0.007129
60,11832.9,1.06609,0.54795,1.0726,0.77372,0.72381,0.77486,0.56,1.20917,0.56747,1.28685,0.0070795,0.0070795,0.0070795
61,12028.8,1.05302,0.53849,1.06075,0.76878,0.72609,0.7753,0.56081,1.20864,0.56697,1.28669,0.00703,0.00703,0.00703
62,12225.8,1.06217,0.53982,1.06673,0.77662,0.72255,0.77572,0.56137,1.20833,0.56614,1.2866,0.0069805,0.0069805,0.0069805
63,12425.8,1.05412,0.53524,1.06183,0.77763,0.72325,0.77669,0.56176,1.20803,0.56559,1.28646,0.006931,0.006931,0.006931
64,12625.9,1.06318,0.54316,1.0668,0.7775,0.72359,0.77728,0.56236,1.20784,0.56487,1.28625,0.0068815,0.0068815,0.0068815
65,12821.1,1.05807,0.53665,1.06571,0.78013,0.7232,0.77723,0.56279,1.20743,0.56443,1.28601,0.006832,0.006832,0.006832
66,13016.7,1.05992,0.53568,1.06772,0.78559,0.71875,0.77819,0.5634,1.20719,0.56373,1.28596,0.0067825,0.0067825,0.0067825
67,13216.5,1.04642,0.53055,1.057,0.7826,0.71884,0.77865,0.56351,1.20687,0.5631,1.28569,0.006733,0.006733,0.006733
68,13414.6,1.04516,0.52789,1.06002,0.78329,0.71999,0.77917,0.56363,1.20684,0.5627,1.28568,0.0066835,0.0066835,0.0066835
69,13610.9,1.04143,0.5212,1.05494,0.78464,0.71918,0.77946,0.56348,1.20681,0.56207,1.28558,0.006634,0.006634,0.006634
70,13798.5,1.05468,0.52811,1.06153,0.78511,0.72055,0.77975,0.56387,1.20677,0.56171,1.28562,0.0065845,0.0065845,0.0065845
71,14004.4,1.04668,0.52603,1.05879,0.78596,0.72018,0.78008,0.56407,1.20686,0.56137,1.2858,0.006535,0.006535,0.006535
72,14199.9,1.04533,0.52544,1.05746,0.78587,0.72035,0.78034,0.56437,1.20674,0.56113,1.28577,0.0064855,0.0064855,0.0064855
73,14405.3,1.04041,0.52158,1.05659,0.7863,0.72081,0.78059,0.56502,1.20648,0.56074,1.2856,0.006436,0.006436,0.006436
