epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.113,3.48855,2.91734,2.58222,0.12447,0.08431,0.09975,0.047,2.31161,2.02169,1.96234,0.0700267,0.00333037,0.00333037
2,202.348,1.99653,1.70148,1.61209,0.24542,0.2105,0.1993,0.109,1.70125,1.33953,1.51908,0.0399937,0.00663072,0.00663072
3,285.984,1.68697,1.36001,1.40357,0.25104,0.28771,0.23877,0.13393,1.58553,1.23547,1.44657,0.0099277,0.00989807,0.00989807
4,369.498,1.56042,1.20395,1.32498,0.25742,0.34064,0.29122,0.1727,1.48231,1.09373,1.39098,0.0098515,0.0098515,0.0098515
5,451.478,1.47892,1.10357,1.28024,0.31307,0.40544,0.32975,0.20376,1.43317,0.98511,1.36335,0.009802,0.009802,0.009802
6,535.349,1.43856,1.06016,1.25346,0.35602,0.42877,0.34947,0.211,1.4009,0.94555,1.33868,0.0097525,0.0097525,0.0097525
7,617.102,1.40165,1.00343,1.22623,0.39273,0.44366,0.37813,0.2346,1.39122,0.91839,1.33541,0.009703,0.009703,0.009703
8,699.757,1.37618,0.97201,1.21193,0.37802,0.46094,0.38886,0.24424,1.37429,0.89003,1.33002,0.0096535,0.0096535,0.0096535
9,781.576,1.36894,0.95508,1.21113,0.40569,0.49445,0.41662,0.26571,1.3625,0.86968,1.32685,0.009604,0.009604,0.009604
10,864.055,1.35258,0.93865,1.2019,0.44436,0.4873,0.44837,0.28326,1.36343,0.85792,1.32886,0.0095545,0.0095545,0.0095545
11,946.794,1.34354,0.92284,1.19186,0.46036,0.49832,0.4607,0.29584,1.34922,0.84416,1.32372,0.009505,0.009505,0.009505
12,1029.64,1.33525,0.89784,1.18758,0.47786,0.51108,0.47982,0.30368,1.35077,0.83187,1.31986,0.0094555,0.0094555,0.0094555
13,1109.91,1.33388,0.90228,1.19655,0.47422,0.53772,0.50053,0.31986,1.33327,0.81385,1.30845,0.009406,0.009406,0.009406
14,1192.18,1.32343,0.88382,1.18051,0.48108,0.54304,0.51224,0.33027,1.33365,0.80452,1.31131,0.0093565,0.0093565,0.0093565
15,1272.25,1.31348,0.86758,1.1803,0.50067,0.54499,0.51453,0.33195,1.33212,0.79865,1.31246,0.009307,0.009307,0.009307
16,1352.56,1.30623,0.86083,1.17303,0.52066,0.55691,0.52793,0.34324,1.32262,0.79026,1.30594,0.0092575,0.0092575,0.0092575
17,1436.31,1.301,0.86166,1.17193,0.5136,0.55984,0.53339,0.34775,1.32519,0.78424,1.31423,0.009208,0.009208,0.009208
18,1519.9,1.30087,0.85096,1.17039,0.56292,0.55505,0.55698,0.3639,1.31901,0.77607,1.30741,0.0091585,0.0091585,0.0091585
19,1601.66,1.30373,0.85376,1.17336,0.55366,0.57348,0.56157,0.3684,1.32468,0.77055,1.31639,0.009109,0.009109,0.009109
20,1682.61,1.28431,0.83467,1.15932,0.53635,0.58176,0.56547,0.37179,1.31354,0.76386,1.30467,0.0090595,0.0090595,0.0090595
21,1768.15,1.28879,0.83107,1.15867,0.57295,0.57464,0.5817,0.3826,1.31111,0.75402,1.30788,0.00901,0.00901,0.00901
22,1851.07,1.28434,0.83499,1.15828,0.5854,0.59105,0.59009,0.39004,1.31305,0.75102,1.30651,0.0089605,0.0089605,0.0089605
23,1934.39,1.27508,0.82078,1.15404,0.57141,0.59564,0.58924,0.39001,1.30576,0.7475,1.30735,0.008911,0.008911,0.008911
24,2017.99,1.27772,0.81907,1.15211,0.58417,0.59353,0.59933,0.3982,1.30584,0.74247,1.30682,0.0088615,0.0088615,0.0088615
25,2100.42,1.27306,0.81141,1.1524,0.59202,0.60546,0.60827,0.40433,1.30739,0.73926,1.30618,0.008812,0.008812,0.008812
26,2181.24,1.27839,0.81385,1.15274,0.58899,0.62237,0.61336,0.40769,1.30358,0.73628,1.30393,0.0087625,0.0087625,0.0087625
27,2263.77,1.26242,0.80969,1.14443,0.60571,0.62279,0.62047,0.41126,1.30119,0.73252,1.30433,0.008713,0.008713,0.008713
28,2346.09,1.26964,0.81259,1.14527,0.60653,0.61715,0.62206,0.41438,1.29969,0.73378,1.30093,0.0086635,0.0086635,0.0086635
29,2428.17,1.26618,0.80912,1.14017,0.62875,0.61088,0.62887,0.41897,1.29539,0.72953,1.2977,0.008614,0.008614,0.008614
30,2510.76,1.26415,0.80247,1.13876,0.61041,0.63401,0.631,0.4214,1.29767,0.72437,1.29838,0.0085645,0.0085645,0.0085645
31,2592.86,1.26468,0.80301,1.14029,0.61606,0.62527,0.631,0.42106,1.29716,0.72497,1.2987,0.008515,0.008515,0.008515
32,2674.16,1.2591,0.79793,1.13928,0.62099,0.62463,0.6326,0.42192,1.29835,0.72619,1.30192,0.0084655,0.0084655,0.0084655
33,2756.75,1.25217,0.79137,1.13219,0.62462,0.63049,0.64096,0.42674,1.29527,0.72169,1.29881,0.008416,0.008416,0.008416
34,2841.2,1.25648,0.79315,1.13228,0.64184,0.62982,0.64509,0.43156,1.29165,0.71954,1.2955,0.0083665,0.0083665,0.0083665
35,2925.06,1.25537,0.78764,1.1323,0.63441,0.63178,0.6449,0.43058,1.29285,0.71676,1.29738,0.008317,0.008317,0.008317
36,3006.81,1.24231,0.77862,1.12457,0.65124,0.61944,0.64653,0.4319,1.29132,0.7171,1.29746,0.0082675,0.0082675,0.0082675
37,3087.65,1.24353,0.77437,1.12588,0.65532,0.62867,0.65238,0.43698,1.28987,0.7134,1.29679,0.008218,0.008218,0.008218
38,3167.08,1.24835,0.77944,1.13009,0.64554,0.63772,0.6525,0.43798,1.28945,0.7137,1.29567,0.0081685,0.0081685,0.0081685
39,3246.74,1.23971,0.77329,1.12317,0.65306,0.63775,0.65319,0.43905,1.28783,0.71346,1.29447,0.008119,0.008119,0.008119
40,3326.04,1.23971,0.77508,1.1242,0.66012,0.6341,0.65453,0.44051,1.28797,0.71038,1.29616,0.0080695,0.0080695,0.0080695
41,3407.42,1.24048,0.77093,1.1244,0.66809,0.63254,0.65824,0.44265,1.28978,0.70841,1.29737,0.00802,0.00802,0.00802
42,3487.94,1.23557,0.76391,1.12415,0.67733,0.63625,0.66231,0.44427,1.2896,0.70656,1.29741,0.0079705,0.0079705,0.0079705
43,3570.99,1.23551,0.76911,1.11907,0.67006,0.63792,0.66322,0.44452,1.28856,0.7052,1.29682,0.007921,0.007921,0.007921
44,3656.73,1.23633,0.76586,1.12091,0.68162,0.62477,0.66085,0.44463,1.28832,0.70539,1.296,0.0078715,0.0078715,0.0078715
45,3741.98,1.23294,0.76102,1.11978,0.67456,0.63173,0.66125,0.44515,1.28847,0.70451,1.29618,0.007822,0.007822,0.007822
46,3824.93,1.23369,0.76974,1.12152,0.67073,0.6352,0.66196,0.44617,1.28744,0.70378,1.29525,0.0077725,0.0077725,0.0077725
47,3906.34,1.23002,0.76124,1.11545,0.66145,0.64352,0.66205,0.44632,1.28608,0.70275,1.29442,0.007723,0.007723,0.007723
48,3987.25,1.23552,0.7616,1.12221,0.65714,0.65107,0.66481,0.44879,1.28484,0.70129,1.29376,0.0076735,0.0076735,0.0076735
49,4068,1.22397,0.75678,1.1146,0.66219,0.6503,0.66666,0.44946,1.28411,0.70042,1.29391,0.007624,0.007624,0.007624
50,4153.55,1.21262,0.74354,1.11131,0.66256,0.64917,0.66761,0.45025,1.28372,0.69938,1.29378,0.0075745,0.0075745,0.0075745
51,4234.69,1.22844,0.75416,1.11865,0.6634,0.65167,0.66902,0.45224,1.28265,0.69803,1.29301,0.007525,0.007525,0.007525
52,4316.23,1.21531,0.74794,1.11064,0.65832,0.6538,0.66942,0.45273,1.28198,0.69719,1.29279,0.0074755,0.0074755,0.0074755
53,4396.38,1.21482,0.74844,1.10907,0.66099,0.65227,0.67011,0.45346,1.28154,0.69636,1.29234,0.007426,0.007426,0.007426
54,4476.12,1.22011,0.74939,1.11296,0.66307,0.65282,0.67059,0.45432,1.28013,0.69571,1.2915,0.0073765,0.0073765,0.0073765
55,4556.43,1.21549,0.7454,1.11282,0.66193,0.6535,0.67281,0.45579,1.27968,0.69446,1.29129,0.007327,0.007327,0.007327
56,4637.53,1.20717,0.73651,1.10714,0.66542,0.65512,0.67418,0.45716,1.27933,0.69417,1.29106,0.0072775,0.0072775,0.0072775
57,4721.81,1.21679,0.7388,1.1115,0.66471,0.65405,0.6753,0.45807,1.27881,0.69318,1.29063,0.007228,0.007228,0.007228
58,4803.93,1.20588,0.73655,1.10221,0.66783,0.65305,0.67662,0.45899,1.27843,0.69244,1.29024,0.0071785,0.0071785,0.0071785
59,4885.75,1.21714,0.73912,1.10825,0.66678,0.65288,0.67738,0.45966,1.2784,0.69217,1.29005,0.007129,0.007129,0.007129
