epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.565,3.43924,2.60508,2.33609,0.50394,0.38593,0.40457,0.17033,2.23902,1.87265,1.80789,0.0700399,0.0033289,0.0033289
2,246.452,1.9968,1.22899,1.36338,0.78092,0.64576,0.7411,0.3779,1.70515,1.27141,1.4353,0.0400069,0.00662926,0.00662926
3,360.435,1.79787,1.07054,1.26082,0.812,0.68453,0.76456,0.35595,1.76879,1.21911,1.46978,0.00994094,0.00989661,0.00989661
4,471.756,1.6843,0.95048,1.21368,0.82014,0.63218,0.75865,0.42365,1.57666,1.19536,1.35213,0.0098515,0.0098515,0.0098515
5,582.132,1.61007,0.87551,1.18415,0.86608,0.71224,0.8251,0.48813,1.49673,1.04457,1.29612,0.009802,0.009802,0.009802
6,694.278,1.5422,0.81431,1.15929,0.92372,0.79692,0.89755,0.55636,1.34026,0.85359,1.24024,0.0097525,0.0097525,0.0097525
7,806.559,1.51527,0.78083,1.1458,0.90993,0.81992,0.90997,0.55481,1.35825,0.87873,1.24593,0.009703,0.009703,0.009703
8,919.51,1.4786,0.74593,1.13355,0.85462,0.78596,0.86052,0.50236,1.46415,1.01427,1.28551,0.0096535,0.0096535,0.0096535
9,1032.66,1.45751,0.73141,1.12738,0.92334,0.83424,0.91939,0.56213,1.36321,0.76785,1.2318,0.009604,0.009604,0.009604
10,1143.63,1.43808,0.70929,1.11018,0.92959,0.84209,0.92722,0.56617,1.37393,0.7397,1.23171,0.0095545,0.0095545,0.0095545
11,1255.26,1.42602,0.70082,1.11186,0.93299,0.84354,0.92772,0.5934,1.28718,0.73601,1.19656,0.009505,0.009505,0.009505
12,1367.18,1.4141,0.6911,1.10662,0.92552,0.86148,0.9266,0.57572,1.33719,0.73025,1.21741,0.0094555,0.0094555,0.0094555
13,1479.45,1.4009,0.67578,1.099,0.90382,0.82221,0.90596,0.55848,1.39022,0.75349,1.24069,0.009406,0.009406,0.009406
14,1592.22,1.38466,0.66576,1.10103,0.93932,0.87244,0.94025,0.58364,1.33868,0.69147,1.2145,0.0093565,0.0093565,0.0093565
15,1704.48,1.38663,0.66053,1.09874,0.94226,0.86686,0.93799,0.56498,1.38889,0.70421,1.22933,0.009307,0.009307,0.009307
16,1816.78,1.36673,0.64878,1.08444,0.93421,0.87666,0.94219,0.58554,1.33469,0.67507,1.21138,0.0092575,0.0092575,0.0092575
17,1929.92,1.35734,0.64243,1.08462,0.94023,0.86497,0.93812,0.59048,1.32373,0.68926,1.2032,0.009208,0.009208,0.009208
18,2043.73,1.34983,0.64228,1.08738,0.9427,0.88183,0.94823,0.5941,1.32157,0.65694,1.20117,0.0091585,0.0091585,0.0091585
19,2158.16,1.33807,0.629,1.0847,0.94849,0.89167,0.95416,0.58723,1.34609,0.64241,1.2145,0.009109,0.009109,0.009109
20,2271.96,1.34332,0.62988,1.08067,0.94302,0.87316,0.94275,0.59472,1.31906,0.65605,1.19654,0.0090595,0.0090595,0.0090595
21,2385.53,1.3291,0.62145,1.07493,0.94943,0.85738,0.94048,0.60317,1.27226,0.65513,1.1797,0.00901,0.00901,0.00901
22,2498.71,1.32771,0.61619,1.07811,0.94255,0.88728,0.94323,0.58831,1.31552,0.64145,1.20965,0.0089605,0.0089605,0.0089605
23,2612.08,1.32434,0.61478,1.07563,0.94383,0.90304,0.95804,0.59325,1.30525,0.63024,1.18944,0.008911,0.008911,0.008911
24,2726.62,1.32456,0.61524,1.07716,0.94839,0.88304,0.94572,0.59271,1.32917,0.64674,1.20799,0.0088615,0.0088615,0.0088615
25,2839.54,1.30377,0.60442,1.06865,0.95069,0.89633,0.95128,0.56812,1.36945,0.63425,1.21959,0.008812,0.008812,0.008812
26,2952.57,1.3015,0.60425,1.06678,0.94251,0.8945,0.95011,0.60635,1.27215,0.6204,1.18755,0.0087625,0.0087625,0.0087625
27,3065.94,1.30334,0.60074,1.06825,0.94918,0.90219,0.95417,0.58847,1.31417,0.61865,1.20185,0.008713,0.008713,0.008713
28,3179.15,1.29649,0.5954,1.06421,0.95314,0.90409,0.95806,0.60092,1.31356,0.60274,1.2014,0.0086635,0.0086635,0.0086635
29,3291.47,1.29488,0.59337,1.06006,0.95101,0.89075,0.95258,0.58821,1.33377,0.61614,1.20836,0.008614,0.008614,0.008614
30,3403.48,1.29442,0.58844,1.05943,0.94765,0.90569,0.95655,0.59292,1.31383,0.59726,1.19383,0.0085645,0.0085645,0.0085645
31,3516.22,1.29318,0.58799,1.06313,0.95396,0.90344,0.95726,0.61374,1.27019,0.58357,1.18587,0.008515,0.008515,0.008515
32,3628.82,1.28869,0.58754,1.06287,0.95486,0.91351,0.96016,0.60658,1.29515,0.57974,1.18712,0.0084655,0.0084655,0.0084655
33,3741.09,1.28153,0.583,1.05737,0.95555,0.914,0.96236,0.6229,1.25553,0.57076,1.17522,0.008416,0.008416,0.008416
34,3853.4,1.28255,0.57951,1.0567,0.95986,0.91086,0.96015,0.60176,1.29656,0.58122,1.19065,0.0083665,0.0083665,0.0083665
35,3966.29,1.26802,0.57745,1.06,0.95334,0.91307,0.95969,0.61034,1.27124,0.57414,1.17449,0.008317,0.008317,0.008317
36,4078.35,1.26939,0.57525,1.05218,0.9492,0.91243,0.96053,0.60661,1.29383,0.57314,1.18882,0.0082675,0.0082675,0.0082675
37,4191.44,1.25928,0.57408,1.04928,0.95804,0.91584,0.96412,0.61878,1.27521,0.56563,1.17534,0.008218,0.008218,0.008218
38,4303.36,1.26418,0.57227,1.05208,0.95681,0.91251,0.96263,0.61699,1.27966,0.56182,1.18155,0.0081685,0.0081685,0.0081685
39,4415.14,1.24638,0.56328,1.04596,0.95971,0.90701,0.961,0.60984,1.28458,0.5678,1.18666,0.008119,0.008119,0.008119
40,4526.59,1.26218,0.5681,1.04975,0.96249,0.89938,0.95962,0.62041,1.25958,0.57268,1.16924,0.0080695,0.0080695,0.0080695
41,4638.79,1.25344,0.56543,1.04917,0.96399,0.89976,0.95877,0.61356,1.26693,0.56799,1.17342,0.00802,0.00802,0.00802
42,4750.69,1.2503,0.56344,1.04904,0.95523,0.90986,0.96001,0.62075,1.25761,0.56344,1.16402,0.0079705,0.0079705,0.0079705
43,4862.53,1.24099,0.55884,1.03945,0.95964,0.90792,0.96046,0.62767,1.23428,0.55561,1.16192,0.007921,0.007921,0.007921
44,4975.08,1.25351,0.55981,1.0471,0.95653,0.90653,0.96128,0.62549,1.24817,0.56014,1.16813,0.0078715,0.0078715,0.0078715
45,5087.38,1.25166,0.56181,1.04922,0.95876,0.91026,0.96086,0.61815,1.25192,0.56039,1.17074,0.007822,0.007822,0.007822
46,5200.38,1.25254,0.56343,1.04613,0.95934,0.90373,0.96083,0.63329,1.22889,0.55249,1.16556,0.0077725,0.0077725,0.0077725
47,5312.11,1.23862,0.5566,1.04255,0.95743,0.9158,0.96515,0.63583,1.23256,0.54487,1.16165,0.007723,0.007723,0.007723
48,5424.81,1.23302,0.5531,1.04321,0.95692,0.91629,0.96346,0.6321,1.23295,0.54251,1.16424,0.0076735,0.0076735,0.0076735
49,5538.61,1.23395,0.55034,1.0438,0.96162,0.90529,0.95907,0.61301,1.27195,0.56348,1.18089,0.007624,0.007624,0.007624
50,5651.14,1.23433,0.55055,1.03971,0.96177,0.9087,0.96,0.61501,1.2736,0.55704,1.18197,0.0075745,0.0075745,0.0075745
51,5762.49,1.23181,0.55202,1.04191,0.95508,0.91014,0.95757,0.61717,1.25875,0.55384,1.17586,0.007525,0.007525,0.007525
52,5875.41,1.22601,0.54582,1.03439,0.95046,0.91283,0.95924,0.61839,1.2568,0.54822,1.17416,0.0074755,0.0074755,0.0074755
53,5987.59,1.22923,0.54696,1.03719,0.9616,0.90792,0.96356,0.63302,1.22571,0.53815,1.1597,0.007426,0.007426,0.007426
54,6098.38,1.21639,0.54128,1.0372,0.96008,0.91533,0.96469,0.63127,1.238,0.53587,1.16397,0.0073765,0.0073765,0.0073765
55,6210.07,1.22298,0.54542,1.03754,0.95658,0.91833,0.96494,0.63049,1.23929,0.53525,1.16231,0.007327,0.007327,0.007327
56,6322.15,1.2292,0.54599,1.03564,0.95822,0.92002,0.96706,0.6295,1.25424,0.53658,1.16798,0.0072775,0.0072775,0.0072775
57,6434.79,1.21823,0.54298,1.03333,0.95593,0.91978,0.96576,0.62497,1.26481,0.53684,1.17434,0.007228,0.007228,0.007228
58,6547.62,1.22294,0.54353,1.03586,0.95893,0.91785,0.96506,0.62384,1.25932,0.53612,1.17142,0.0071785,0.0071785,0.0071785
59,6660.02,1.21391,0.53994,1.0298,0.95812,0.92038,0.96518,0.62336,1.25664,0.5349,1.16915,0.007129,0.007129,0.007129
60,6771.98,1.21144,0.53821,1.03516,0.95431,0.92333,0.96469,0.62182,1.26205,0.53804,1.17156,0.0070795,0.0070795,0.0070795
61,6884.22,1.22909,0.54367,1.03761,0.957,0.92219,0.96461,0.62461,1.25681,0.53261,1.16933,0.00703,0.00703,0.00703
62,6996.45,1.20832,0.53631,1.03258,0.95921,0.92074,0.96591,0.62904,1.24111,0.52723,1.16529,0.0069805,0.0069805,0.0069805
63,7108.56,1.20812,0.53365,1.03055,0.95812,0.9205,0.96561,0.6292,1.23998,0.52935,1.16437,0.006931,0.006931,0.006931
64,7220.65,1.20805,0.53519,1.02985,0.95509,0.92225,0.96634,0.6303,1.23937,0.52583,1.16559,0.0068815,0.0068815,0.0068815
65,7332.29,1.20772,0.53581,1.03113,0.9543,0.92146,0.96612,0.6327,1.23164,0.52416,1.16122,0.006832,0.006832,0.006832
66,7444.63,1.21582,0.53602,1.03315,0.95288,0.92319,0.9667,0.6342,1.22768,0.52336,1.15947,0.0067825,0.0067825,0.0067825
67,7556.42,1.1992,0.5334,1.03085,0.95487,0.92339,0.96597,0.63588,1.2225,0.52335,1.1569,0.006733,0.006733,0.006733
68,7669.25,1.20348,0.53204,1.02887,0.95687,0.91857,0.96581,0.6374,1.21868,0.52396,1.15519,0.0066835,0.0066835,0.0066835
69,7781.43,1.19439,0.52694,1.02351,0.95851,0.91665,0.96506,0.63724,1.22143,0.52367,1.15575,0.006634,0.006634,0.006634
70,7893.37,1.19205,0.52831,1.02367,0.95603,0.91922,0.96547,0.63622,1.22758,0.52466,1.15806,0.0065845,0.0065845,0.0065845
71,8005.42,1.19379,0.52602,1.02906,0.95136,0.92327,0.96528,0.63585,1.22957,0.52433,1.15962,0.006535,0.006535,0.006535
72,8117.21,1.18947,0.52594,1.02457,0.95406,0.92219,0.96526,0.63752,1.2257,0.5214,1.15841,0.0064855,0.0064855,0.0064855
73,8229.87,1.20275,0.52996,1.02999,0.95719,0.9183,0.9644,0.63511,1.22596,0.52078,1.15833,0.006436,0.006436,0.006436
74,8341.88,1.18966,0.52452,1.02525,0.95608,0.92039,0.96492,0.63697,1.22227,0.51848,1.15685,0.0063865,0.0063865,0.0063865
75,8454.29,1.19564,0.52481,1.02847,0.95669,0.92062,0.96524,0.63712,1.22181,0.51761,1.15672,0.006337,0.006337,0.006337
76,8566.74,1.19205,0.52513,1.02876,0.96352,0.91604,0.96464,0.63594,1.22296,0.51728,1.1575,0.0062875,0.0062875,0.0062875
77,8679.08,1.18837,0.52155,1.02848,0.95995,0.92107,0.96498,0.63626,1.22279,0.51623,1.1566,0.006238,0.006238,0.006238
78,8792.66,1.19158,0.51976,1.02345,0.95649,0.92146,0.96481,0.63555,1.22484,0.51547,1.15705,0.0061885,0.0061885,0.0061885
79,8904.76,1.18542,0.51891,1.02129,0.95591,0.92195,0.96488,0.63494,1.22522,0.51413,1.15764,0.006139,0.006139,0.006139
80,9017.82,1.18602,0.51955,1.02407,0.95824,0.92146,0.96468,0.63484,1.22529,0.51335,1.15747,0.0060895,0.0060895,0.0060895
81,9129.87,1.17224,0.5148,1.0185,0.95898,0.92098,0.96515,0.6364,1.22431,0.51234,1.1572,0.00604,0.00604,0.00604
82,9242.02,1.18334,0.51673,1.02462,0.95703,0.92279,0.96572,0.63785,1.22271,0.51158,1.15639,0.0059905,0.0059905,0.0059905
83,9353.41,1.17748,0.51821,1.02243,0.95801,0.92327,0.96621,0.63818,1.22114,0.5107,1.15567,0.005941,0.005941,0.005941
84,9465.76,1.16725,0.5146,1.01659,0.95805,0.92255,0.9661,0.6389,1.2209,0.50955,1.15554,0.0058915,0.0058915,0.0058915
85,9577.88,1.1791,0.51577,1.01903,0.95798,0.92259,0.96626,0.63792,1.22335,0.5094,1.15654,0.005842,0.005842,0.005842
86,9691.78,1.16902,0.51239,1.01678,0.95737,0.92235,0.96571,0.63799,1.2228,0.50888,1.15604,0.0057925,0.0057925,0.0057925
87,9804.73,1.16703,0.51118,1.01667,0.95869,0.92259,0.96593,0.63856,1.22354,0.50838,1.1563,0.005743,0.005743,0.005743
88,9917.12,1.17382,0.51312,1.01938,0.95902,0.92187,0.96562,0.6382,1.22376,0.50823,1.15597,0.0056935,0.0056935,0.0056935
89,10028.5,1.17077,0.50983,1.01638,0.95864,0.92243,0.96538,0.63743,1.22402,0.50809,1.15608,0.005644,0.005644,0.005644
90,10141.4,1.16573,0.50873,1.01473,0.95837,0.92171,0.96534,0.63746,1.22413,0.50774,1.15604,0.0055945,0.0055945,0.0055945
91,10253.2,1.16106,0.50821,1.01386,0.95763,0.92207,0.96472,0.63752,1.22372,0.50741,1.15609,0.005545,0.005545,0.005545
92,10365.8,1.1646,0.50911,1.01344,0.95908,0.92219,0.96535,0.63786,1.22268,0.50715,1.15536,0.0054955,0.0054955,0.0054955
93,10478.9,1.15593,0.50805,1.00823,0.95933,0.92351,0.96583,0.63838,1.22176,0.50665,1.1549,0.005446,0.005446,0.005446
94,10592.8,1.16007,0.5042,1.01107,0.9586,0.92315,0.96537,0.63815,1.22167,0.50687,1.155,0.0053965,0.0053965,0.0053965
95,10706.6,1.15097,0.50651,1.01109,0.95813,0.92328,0.96551,0.63821,1.22191,0.50661,1.15539,0.005347,0.005347,0.005347
96,10819.9,1.16145,0.50803,1.01451,0.9586,0.92328,0.96575,0.63832,1.22252,0.50668,1.15605,0.0052975,0.0052975,0.0052975
97,10933,1.16448,0.5081,1.0139,0.95872,0.92316,0.96574,0.63771,1.22388,0.50691,1.15688,0.005248,0.005248,0.005248
98,11047.6,1.1643,0.50433,1.01202,0.95848,0.92319,0.96583,0.63761,1.22492,0.50672,1.15754,0.0051985,0.0051985,0.0051985
99,11160.6,1.15133,0.50035,1.0102,0.95834,0.92291,0.9656,0.63793,1.22491,0.50661,1.15746,0.005149,0.005149,0.005149
100,11274.3,1.15637,0.50438,1.01256,0.95834,0.92291,0.96599,0.63807,1.22487,0.50629,1.15758,0.0050995,0.0050995,0.0050995
101,11388.9,1.16308,0.50774,1.01493,0.95748,0.92303,0.96594,0.63818,1.22453,0.50591,1.1575,0.00505,0.00505,0.00505
102,11502,1.15035,0.5013,1.00919,0.95777,0.92343,0.96614,0.63872,1.22432,0.50568,1.15747,0.0050005,0.0050005,0.0050005
103,11614.7,1.15243,0.49963,1.01033,0.95704,0.92424,0.96581,0.63902,1.22383,0.5052,1.15735,0.004951,0.004951,0.004951
104,11727.6,1.15641,0.50274,1.01204,0.95725,0.92363,0.96596,0.63923,1.22285,0.5051,1.15697,0.0049015,0.0049015,0.0049015
105,11841.1,1.15274,0.50241,1.00975,0.95821,0.92339,0.96612,0.63986,1.22141,0.50457,1.15647,0.004852,0.004852,0.004852
106,11955.1,1.14971,0.49954,1.013,0.95857,0.92339,0.96645,0.6402,1.22024,0.50401,1.15612,0.0048025,0.0048025,0.0048025
107,12070,1.13729,0.49581,1.00606,0.95897,0.92363,0.96679,0.64045,1.21952,0.50375,1.15594,0.004753,0.004753,0.004753
108,12184.3,1.14456,0.49969,1.00712,0.95872,0.92327,0.96675,0.64108,1.21927,0.5038,1.15573,0.0047035,0.0047035,0.0047035
109,12297.1,1.13889,0.49709,1.0093,0.95844,0.92303,0.96697,0.64132,1.21888,0.50366,1.15556,0.004654,0.004654,0.004654
110,12410.6,1.1436,0.49896,1.01167,0.95834,0.92271,0.96716,0.64169,1.21883,0.50319,1.15554,0.0046045,0.0046045,0.0046045
111,12524.3,1.14472,0.49276,1.0078,0.95772,0.92231,0.96701,0.64179,1.21851,0.50267,1.15541,0.004555,0.004555,0.004555
112,12638.2,1.14066,0.49443,1.00754,0.95845,0.92255,0.96677,0.64186,1.21826,0.5023,1.15536,0.0045055,0.0045055,0.0045055
