epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.411,4.05992,3.80936,3.55912,0.00359,0.44905,0.00491,0.0012,3.43806,3.43525,3.54265,0.0700399,0.0033289,0.0033289
2,226.994,2.75165,2.5044,2.50708,0.64976,0.50412,0.56542,0.25106,1.91486,1.79436,2.26808,0.0400069,0.00662926,0.00662926
3,329.207,2.09555,1.80462,2.00842,0.5105,0.51705,0.51333,0.22575,1.93064,2.28318,2.23149,0.00994094,0.00989661,0.00989661
4,428.82,1.94988,1.54103,1.88151,0.62561,0.64912,0.6318,0.30482,1.76212,1.72746,2.10098,0.0098515,0.0098515,0.0098515
5,530.661,1.87784,1.39037,1.82145,0.63751,0.59528,0.60264,0.27713,1.99569,1.76688,2.25216,0.009802,0.009802,0.009802
6,630.87,1.81242,1.29548,1.76958,0.60573,0.55734,0.55187,0.24018,2.06657,1.82202,2.29453,0.0097525,0.0097525,0.0097525
7,730.794,1.7856,1.22973,1.74631,0.80862,0.67297,0.75508,0.37757,1.7336,1.4383,2.05328,0.009703,0.009703,0.009703
8,831.654,1.75217,1.17582,1.72486,0.79852,0.718,0.80893,0.43556,1.58691,1.30783,1.93518,0.0096535,0.0096535,0.0096535
9,938.635,1.73792,1.13999,1.71696,0.6335,0.65141,0.66328,0.3339,1.77158,1.67215,2.07978,0.009604,0.009604,0.009604
10,1050.69,1.69442,1.08608,1.66924,0.8434,0.73823,0.82064,0.43659,1.62905,1.10052,1.95432,0.0095545,0.0095545,0.0095545
11,1155.49,1.69149,1.06616,1.66976,0.78529,0.64804,0.72995,0.37284,1.79045,1.31811,2.08885,0.009505,0.009505,0.009505
12,1255.43,1.68056,1.04569,1.66916,0.8415,0.72452,0.81197,0.43213,1.64364,1.25815,1.96593,0.0094555,0.0094555,0.0094555
13,1355.38,1.65927,1.01616,1.64794,0.80204,0.75921,0.82244,0.44384,1.58566,1.09054,1.91895,0.009406,0.009406,0.009406
14,1456.43,1.6512,1.01342,1.65477,0.76952,0.75572,0.8052,0.45216,1.52561,1.22734,1.87369,0.0093565,0.0093565,0.0093565
15,1557.22,1.64117,0.985,1.64005,0.83737,0.71368,0.81437,0.43331,1.64086,1.14643,1.95037,0.009307,0.009307,0.009307
16,1656.6,1.62055,0.9591,1.61502,0.746,0.71573,0.75418,0.37305,1.7807,1.37163,2.07318,0.0092575,0.0092575,0.0092575
17,1755.15,1.6138,0.94532,1.60926,0.84476,0.74853,0.83928,0.4613,1.58049,1.13038,1.91325,0.009208,0.009208,0.009208
18,1854.97,1.6046,0.94275,1.61759,0.83342,0.76584,0.84965,0.46929,1.55459,1.05675,1.89422,0.0091585,0.0091585,0.0091585
19,1954.95,1.59043,0.92567,1.61087,0.82417,0.76449,0.84685,0.46313,1.57985,1.02023,1.91286,0.009109,0.009109,0.009109
20,2054.64,1.58706,0.91186,1.59683,0.84376,0.74158,0.83191,0.45091,1.60845,1.04421,1.92243,0.0090595,0.0090595,0.0090595
21,2153.6,1.57232,0.90155,1.58789,0.89348,0.79788,0.87545,0.48204,1.56548,0.94976,1.90026,0.00901,0.00901,0.00901
22,2254.7,1.56446,0.88569,1.58441,0.79532,0.78255,0.83562,0.46024,1.59042,1.09852,1.91418,0.0089605,0.0089605,0.0089605
23,2355.08,1.56309,0.88082,1.5816,0.82531,0.72344,0.83067,0.45051,1.61662,1.09328,1.93381,0.008911,0.008911,0.008911
24,2454.15,1.55467,0.87337,1.57886,0.84481,0.74819,0.84961,0.47345,1.54927,1.04881,1.88311,0.0088615,0.0088615,0.0088615
