epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.732,3.69377,3.54136,3.22236,0.22875,0.17851,0.11578,0.03368,2.80075,3.06532,3.03142,0.0700399,0.0033289,0.0033289
2,196.28,2.52411,2.29093,2.35206,0.55908,0.42701,0.45648,0.1924,2.07066,1.94028,2.39078,0.0400069,0.00662926,0.00662926
3,289.055,2.07262,1.74094,1.98678,0.52936,0.58576,0.50843,0.21464,1.85057,2.03247,2.18481,0.00994094,0.00989661,0.00989661
4,379.862,1.94035,1.5066,1.87247,0.69527,0.59609,0.67113,0.33236,1.77386,1.75146,2.09848,0.0098515,0.0098515,0.0098515
5,470.608,1.86776,1.35854,1.81504,0.78626,0.71116,0.7841,0.39918,1.66032,1.45185,2.01123,0.009802,0.009802,0.009802
6,562.219,1.79767,1.2603,1.76062,0.80958,0.69236,0.77157,0.38256,1.73021,1.36967,2.03401,0.0097525,0.0097525,0.0097525
7,651.05,1.76262,1.19245,1.73318,0.86859,0.71706,0.80631,0.4207,1.663,1.18668,2.02217,0.009703,0.009703,0.009703
8,742.828,1.73134,1.14325,1.70972,0.73572,0.71088,0.76109,0.40171,1.63115,1.35955,1.96071,0.0096535,0.0096535,0.0096535
9,831.573,1.71321,1.10801,1.7022,0.87499,0.78017,0.84794,0.46566,1.53908,1.10778,1.88819,0.009604,0.009604,0.009604
10,922.261,1.67571,1.05715,1.65571,0.88124,0.76598,0.85629,0.45973,1.60494,1.03428,1.9202,0.0095545,0.0095545,0.0095545
11,1009.74,1.66864,1.03062,1.6543,0.91413,0.80318,0.87822,0.48705,1.5108,0.97597,1.87193,0.009505,0.009505,0.009505
12,1099.17,1.65588,1.01398,1.65109,0.84609,0.78836,0.85494,0.45062,1.59907,1.0443,1.91509,0.0094555,0.0094555,0.0094555
13,1188.67,1.63739,0.98351,1.63151,0.85746,0.7847,0.86253,0.47947,1.52814,0.99236,1.87612,0.009406,0.009406,0.009406
