epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5457,3.66183,3.50622,3.16431,0.15507,0.19056,0.0966,0.02777,2.67482,3.59723,2.9705,0.0700399,0.0033289,0.0033289
2,156.953,2.52546,2.35099,2.35299,0.41805,0.33799,0.31236,0.11942,2.32976,2.52002,2.58474,0.0400069,0.00662926,0.00662926
3,224.895,2.10772,1.84391,2.02002,0.58771,0.57075,0.58817,0.24522,1.83105,1.99144,2.15997,0.00994094,0.00989661,0.00989661
4,290.501,1.96792,1.59444,1.90064,0.71997,0.5977,0.67422,0.32675,1.77905,1.53846,2.12138,0.0098515,0.0098515,0.0098515
5,360.089,1.89596,1.44459,1.84287,0.66277,0.64611,0.67397,0.33812,1.74123,1.53583,2.07044,0.009802,0.009802,0.009802
6,426.334,1.83402,1.34083,1.78968,0.82461,0.69297,0.77573,0.38105,1.71649,1.35607,2.04244,0.0097525,0.0097525,0.0097525
7,493.717,1.80219,1.27284,1.76597,0.88731,0.73344,0.83182,0.41946,1.64964,1.18662,1.99156,0.009703,0.009703,0.009703
8,568.745,1.77552,1.22199,1.7437,0.81916,0.71573,0.79274,0.40091,1.66107,1.4146,1.98697,0.0096535,0.0096535,0.0096535
9,641.175,1.75278,1.18533,1.73433,0.88275,0.7615,0.84884,0.45789,1.5504,1.12815,1.90862,0.009604,0.009604,0.009604
10,717.645,1.7159,1.14178,1.68734,0.90099,0.77604,0.85465,0.45888,1.59204,1.08195,1.92724,0.0095545,0.0095545,0.0095545
11,787.129,1.71455,1.11428,1.68748,0.87866,0.75644,0.84245,0.45638,1.5578,1.1508,1.90989,0.009505,0.009505,0.009505
12,852.306,1.70701,1.09753,1.68972,0.84332,0.76116,0.85495,0.45669,1.58874,1.09429,1.91457,0.0094555,0.0094555,0.0094555
13,917.271,1.68628,1.06462,1.66882,0.85738,0.76945,0.84526,0.46585,1.54768,1.0981,1.89514,0.009406,0.009406,0.009406
14,992.428,1.67813,1.06266,1.67724,0.82696,0.755,0.83934,0.46765,1.51256,1.19249,1.86963,0.0093565,0.0093565,0.0093565
15,1070.43,1.6634,1.03341,1.65584,0.88894,0.77006,0.86285,0.48135,1.52025,1.03348,1.87411,0.009307,0.009307,0.009307
16,1142.26,1.64553,1.0083,1.63518,0.89478,0.80618,0.87601,0.4873,1.51145,0.96689,1.86322,0.0092575,0.0092575,0.0092575
17,1213.08,1.63632,0.99744,1.62786,0.84005,0.79463,0.85165,0.46891,1.54841,1.02005,1.8843,0.009208,0.009208,0.009208
18,1285.95,1.63807,0.99015,1.64251,0.85536,0.80559,0.86382,0.48181,1.52574,0.98807,1.87533,0.0091585,0.0091585,0.0091585
19,1354.3,1.62086,0.97609,1.63445,0.90723,0.79403,0.87816,0.48909,1.51378,0.98163,1.86633,0.009109,0.009109,0.009109
20,1420.43,1.6172,0.96094,1.62139,0.86203,0.80377,0.85306,0.47045,1.55823,0.98893,1.90305,0.0090595,0.0090595,0.0090595
21,1492.98,1.60267,0.95063,1.61159,0.85322,0.80732,0.87112,0.48583,1.53169,0.96286,1.87592,0.00901,0.00901,0.00901
22,1561.71,1.59957,0.94527,1.61146,0.87834,0.80788,0.87352,0.49199,1.51607,0.95628,1.85866,0.0089605,0.0089605,0.0089605
23,1635.65,1.59552,0.93419,1.60587,0.88603,0.80643,0.87983,0.49633,1.51044,0.90769,1.86209,0.008911,0.008911,0.008911
24,1704.21,1.59293,0.93354,1.60614,0.91282,0.80101,0.88143,0.49562,1.50829,0.92631,1.85825,0.0088615,0.0088615,0.0088615
25,1772.19,1.57012,0.90958,1.59382,0.85847,0.82852,0.88033,0.49661,1.5099,0.93168,1.85435,0.008812,0.008812,0.008812
26,1839.07,1.57598,0.91281,1.58814,0.89428,0.79782,0.88386,0.50758,1.48026,0.91296,1.83841,0.0087625,0.0087625,0.0087625
27,1909.06,1.57202,0.90673,1.5897,0.91958,0.81065,0.89303,0.5062,1.50226,0.86227,1.84835,0.008713,0.008713,0.008713
28,1977.39,1.55725,0.89479,1.57993,0.8503,0.79957,0.86282,0.48655,1.52057,0.96512,1.86922,0.0086635,0.0086635,0.0086635
29,2046.58,1.56199,0.8848,1.57539,0.87825,0.81824,0.88765,0.50252,1.49933,0.88595,1.84512,0.008614,0.008614,0.008614
