epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.739,4.26204,3.92278,3.69289,0.00349,0.43231,0.00354,0.00098,3.46582,3.63731,3.90833,0.0700399,0.0033289,0.0033289
2,294.499,2.74632,2.55548,2.50708,0.64745,0.52915,0.58723,0.2673,1.83142,1.78719,2.21745,0.0400069,0.00662926,0.00662926
3,431.75,2.06851,1.76981,1.98421,0.55075,0.5065,0.50953,0.22138,1.96812,2.09121,2.26448,0.00994094,0.00989661,0.00989661
4,566.282,1.91943,1.50374,1.8583,0.52604,0.5424,0.52816,0.24981,1.88942,2.31894,2.18806,0.0098515,0.0098515,0.0098515
5,699.994,1.85662,1.35784,1.80802,0.7147,0.68015,0.73872,0.37974,1.65834,1.4948,1.99422,0.009802,0.009802,0.009802
6,836.777,1.78549,1.24724,1.74861,0.69261,0.68237,0.6951,0.34171,1.72247,1.63889,2.05095,0.0097525,0.0097525,0.0097525
7,970.484,1.75439,1.18044,1.72361,0.86024,0.72581,0.81819,0.42597,1.614,1.22392,1.96418,0.009703,0.009703,0.009703
8,1106.27,1.72354,1.12641,1.70181,0.8035,0.69658,0.78633,0.41891,1.6223,1.46278,1.96387,0.0096535,0.0096535,0.0096535
9,1239.96,1.70101,1.09526,1.6924,0.74209,0.71585,0.75863,0.40143,1.63099,1.37521,1.97059,0.009604,0.009604,0.009604
10,1374.04,1.66176,1.04027,1.64521,0.85616,0.75584,0.835,0.44601,1.61781,1.10898,1.93762,0.0095545,0.0095545,0.0095545
11,1509.97,1.65387,1.0174,1.64224,0.82984,0.75425,0.84163,0.45904,1.55457,1.13878,1.89492,0.009505,0.009505,0.009505
12,1645.84,1.63805,0.99588,1.63625,0.84426,0.72612,0.81295,0.43095,1.65521,1.13224,1.97153,0.0094555,0.0094555,0.0094555
13,1779.65,1.61951,0.96914,1.61647,0.87673,0.76524,0.84956,0.45753,1.58115,1.02139,1.92093,0.009406,0.009406,0.009406
14,1913.33,1.60893,0.95543,1.62313,0.86565,0.77837,0.86309,0.47937,1.53492,1.11844,1.88272,0.0093565,0.0093565,0.0093565
15,2049.1,1.5947,0.92911,1.60568,0.89439,0.79872,0.87192,0.47852,1.54942,0.93917,1.87763,0.009307,0.009307,0.009307
16,2185.48,1.57373,0.90159,1.57982,0.89173,0.78871,0.86319,0.47832,1.53857,1.01926,1.87702,0.0092575,0.0092575,0.0092575
17,2319.33,1.56313,0.89063,1.57288,0.76208,0.74347,0.81281,0.45937,1.51863,1.18108,1.86211,0.009208,0.009208,0.009208
18,2453.41,1.55592,0.88087,1.58187,0.91652,0.8074,0.88347,0.48602,1.56696,0.90243,1.89607,0.0091585,0.0091585,0.0091585
19,2588.83,1.54089,0.86663,1.57714,0.87119,0.8073,0.88314,0.48892,1.53185,0.93378,1.86798,0.009109,0.009109,0.009109
20,2724.12,1.54084,0.85635,1.56389,0.90556,0.78195,0.86703,0.47412,1.5625,0.98641,1.88479,0.0090595,0.0090595,0.0090595
21,2857.36,1.52647,0.846,1.55605,0.90359,0.81737,0.88882,0.51284,1.46891,0.88185,1.82299,0.00901,0.00901,0.00901
22,2992.75,1.51934,0.83309,1.55187,0.87798,0.78848,0.87005,0.49333,1.5219,0.92735,1.85327,0.0089605,0.0089605,0.0089605
23,3126.2,1.51188,0.82897,1.54508,0.88191,0.8151,0.8759,0.49299,1.53063,0.89749,1.86712,0.008911,0.008911,0.008911
24,3260.41,1.50898,0.82853,1.54541,0.91059,0.82071,0.8857,0.49179,1.53263,0.87473,1.87763,0.0088615,0.0088615,0.0088615
25,3393.94,1.48564,0.80444,1.53334,0.90532,0.80053,0.87828,0.50165,1.50125,0.88744,1.83957,0.008812,0.008812,0.008812
26,3527.53,1.48255,0.8028,1.5206,0.87806,0.81041,0.88533,0.49817,1.5323,0.86727,1.86917,0.0087625,0.0087625,0.0087625
27,3660.69,1.48137,0.79458,1.52446,0.88338,0.83304,0.89305,0.51168,1.48812,0.87301,1.82572,0.008713,0.008713,0.008713
28,3794.27,1.47031,0.78883,1.51643,0.91845,0.82213,0.89039,0.50927,1.49245,0.8371,1.83389,0.0086635,0.0086635,0.0086635
29,3927.68,1.46699,0.77055,1.50756,0.87858,0.81234,0.88102,0.50921,1.47399,0.87148,1.81193,0.008614,0.008614,0.008614
30,4061.79,1.46381,0.77498,1.50573,0.92741,0.80908,0.88918,0.51066,1.487,0.84053,1.83541,0.0085645,0.0085645,0.0085645
31,4195.64,1.46665,0.77225,1.51195,0.86068,0.80824,0.88823,0.5157,1.48688,0.83924,1.83758,0.008515,0.008515,0.008515
32,4330.8,1.4535,0.75871,1.50309,0.90611,0.79884,0.89457,0.51519,1.48859,0.8191,1.83619,0.0084655,0.0084655,0.0084655
33,4466.61,1.44741,0.75279,1.49349,0.92347,0.81247,0.89629,0.51332,1.48768,0.84035,1.83079,0.008416,0.008416,0.008416
34,4599.68,1.44036,0.74564,1.49051,0.91408,0.82017,0.89491,0.51315,1.49266,0.8256,1.84034,0.0083665,0.0083665,0.0083665
35,4733.4,1.4284,0.73865,1.49381,0.9247,0.82981,0.90063,0.51992,1.48188,0.79727,1.82499,0.008317,0.008317,0.008317
36,4868.94,1.43143,0.74298,1.47704,0.9072,0.83372,0.90151,0.51441,1.49202,0.77877,1.83166,0.0082675,0.0082675,0.0082675
37,5002.61,1.41957,0.73817,1.47783,0.92643,0.82546,0.89888,0.51985,1.47564,0.79098,1.82552,0.008218,0.008218,0.008218
38,5136.25,1.41613,0.73087,1.47957,0.92643,0.83881,0.90157,0.51823,1.48647,0.77698,1.83202,0.0081685,0.0081685,0.0081685
39,5269.21,1.40038,0.71589,1.46717,0.91007,0.84225,0.90123,0.51962,1.48444,0.78265,1.82577,0.008119,0.008119,0.008119
40,5403.18,1.40873,0.71985,1.4701,0.86507,0.84353,0.8924,0.51224,1.4885,0.80096,1.8376,0.0080695,0.0080695,0.0080695
41,5536.62,1.40107,0.71355,1.46765,0.90236,0.83271,0.90051,0.52043,1.47507,0.78853,1.82371,0.00802,0.00802,0.00802
