epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5843,3.59184,3.50712,3.09861,0.20477,0.16669,0.09829,0.02741,2.7849,3.26521,2.96208,0.0700399,0.0033289,0.0033289
2,138.754,2.59007,2.46173,2.39364,0.4466,0.3192,0.3191,0.12367,2.4576,2.56961,2.66369,0.0400069,0.00662926,0.00662926
3,202.48,2.17388,1.96554,2.06875,0.55606,0.45206,0.51467,0.21984,1.92803,2.68011,2.24532,0.00994094,0.00989661,0.00989661
4,262.909,2.02542,1.72587,1.94291,0.68239,0.59912,0.66204,0.31203,1.72191,1.72998,2.09819,0.0098515,0.0098515,0.0098515
5,323.786,1.95766,1.57461,1.89134,0.78207,0.64406,0.73635,0.35301,1.73606,1.5609,2.07884,0.009802,0.009802,0.009802
6,387.923,1.90013,1.4684,1.84015,0.73285,0.63262,0.69086,0.32505,1.77122,1.48967,2.09361,0.0097525,0.0097525,0.0097525
7,446.309,1.8695,1.40292,1.81649,0.82388,0.69839,0.78455,0.38528,1.71601,1.28705,2.05454,0.009703,0.009703,0.009703
8,505.783,1.8391,1.35174,1.79337,0.8103,0.64924,0.73406,0.36119,1.7992,1.34968,2.11149,0.0096535,0.0096535,0.0096535
9,565.443,1.82484,1.32253,1.78667,0.84727,0.71566,0.80378,0.41282,1.63309,1.24856,1.98639,0.009604,0.009604,0.009604
10,625.838,1.78948,1.25814,1.74258,0.87297,0.72349,0.83097,0.44129,1.58858,1.14177,1.9366,0.0095545,0.0095545,0.0095545
11,688.28,1.78715,1.23374,1.74218,0.86497,0.73067,0.82255,0.41885,1.68739,1.14118,2.01835,0.009505,0.009505,0.009505
12,746.276,1.77749,1.21915,1.74289,0.87776,0.73922,0.82872,0.42396,1.65498,1.11536,1.99159,0.0094555,0.0094555,0.0094555
13,804.969,1.76122,1.19259,1.72284,0.78218,0.73416,0.80602,0.41862,1.62735,1.24009,1.96626,0.009406,0.009406,0.009406
14,866.161,1.75038,1.18719,1.7298,0.8511,0.75548,0.83289,0.43953,1.61452,1.12013,1.95102,0.0093565,0.0093565,0.0093565
15,924.714,1.74124,1.15778,1.71262,0.86278,0.76644,0.84767,0.43923,1.65935,1.11323,1.97469,0.009307,0.009307,0.009307
16,984.199,1.72167,1.13933,1.69108,0.88293,0.76741,0.84998,0.45051,1.60699,1.05123,1.94457,0.0092575,0.0092575,0.0092575
17,1045.8,1.71698,1.12562,1.68654,0.87164,0.76319,0.83824,0.44028,1.66938,1.08149,1.99347,0.009208,0.009208,0.009208
18,1104,1.71669,1.11891,1.69999,0.88844,0.77162,0.85939,0.46132,1.57945,1.05065,1.91508,0.0091585,0.0091585,0.0091585
19,1165.76,1.6996,1.10324,1.69348,0.87329,0.78198,0.85984,0.46314,1.56012,1.05303,1.91148,0.009109,0.009109,0.009109
20,1229.74,1.69767,1.08437,1.67884,0.90477,0.76561,0.85102,0.45781,1.599,1.02853,1.95202,0.0090595,0.0090595,0.0090595
21,1290.62,1.68437,1.07798,1.66973,0.84686,0.77283,0.84624,0.45642,1.6029,1.04387,1.93744,0.00901,0.00901,0.00901
22,1351.42,1.68513,1.06542,1.67215,0.85835,0.78682,0.86582,0.46908,1.57769,1.01045,1.91281,0.0089605,0.0089605,0.0089605
23,1413.72,1.67509,1.0616,1.66465,0.8901,0.77813,0.85658,0.46305,1.60908,1.01347,1.94608,0.008911,0.008911,0.008911
24,1474.41,1.67753,1.05962,1.66816,0.90607,0.79342,0.87313,0.47433,1.56193,0.99003,1.90614,0.0088615,0.0088615,0.0088615
25,1533.55,1.65263,1.03335,1.65577,0.91368,0.78957,0.87248,0.47862,1.56677,0.97301,1.90478,0.008812,0.008812,0.008812
26,1593.62,1.65319,1.03255,1.64459,0.88109,0.76757,0.85367,0.47573,1.53446,0.99631,1.87603,0.0087625,0.0087625,0.0087625
27,1652.29,1.65564,1.02939,1.6505,0.86441,0.80402,0.87057,0.48036,1.55206,0.9648,1.88635,0.008713,0.008713,0.008713
28,1712.29,1.63968,1.01733,1.63791,0.90034,0.78893,0.87046,0.4835,1.53292,0.96315,1.87684,0.0086635,0.0086635,0.0086635
29,1772.57,1.64533,1.00421,1.63633,0.90878,0.79325,0.87572,0.48849,1.52967,0.9483,1.87249,0.008614,0.008614,0.008614
30,1833.26,1.64646,1.00522,1.63605,0.88958,0.77042,0.84872,0.46582,1.5846,1.00032,1.92793,0.0085645,0.0085645,0.0085645
31,1895.54,1.6417,1.00648,1.63999,0.90831,0.78282,0.87038,0.48655,1.53458,0.94149,1.87768,0.008515,0.008515,0.008515
32,1953.91,1.6384,0.98874,1.63422,0.92274,0.79631,0.87548,0.48713,1.54034,0.93022,1.88197,0.0084655,0.0084655,0.0084655
33,2015.9,1.63214,0.98613,1.62528,0.91533,0.8138,0.88359,0.48901,1.54456,0.91322,1.8877,0.008416,0.008416,0.008416
34,2076.58,1.62326,0.97428,1.62025,0.89382,0.78279,0.86351,0.47626,1.57282,0.95639,1.90835,0.0083665,0.0083665,0.0083665
35,2137.63,1.61594,0.97009,1.62794,0.91224,0.79509,0.8712,0.48103,1.55884,0.92733,1.89184,0.008317,0.008317,0.008317
36,2197.72,1.61925,0.97012,1.61178,0.91336,0.78981,0.86956,0.48058,1.55529,0.92585,1.89609,0.0082675,0.0082675,0.0082675
37,2257.83,1.61137,0.96695,1.61623,0.90639,0.79074,0.8709,0.47543,1.58639,0.91067,1.92142,0.008218,0.008218,0.008218
38,2318.72,1.60668,0.96098,1.61583,0.90823,0.79836,0.87068,0.48111,1.57078,0.91725,1.90689,0.0081685,0.0081685,0.0081685
39,2377.54,1.59828,0.94353,1.6066,0.9026,0.79808,0.87336,0.47592,1.60118,0.91328,1.92494,0.008119,0.008119,0.008119
40,2436.95,1.60126,0.94645,1.60509,0.91485,0.80499,0.88061,0.4898,1.55451,0.9057,1.88927,0.0080695,0.0080695,0.0080695
41,2497.82,1.60136,0.94873,1.60699,0.9137,0.808,0.87576,0.49243,1.54815,0.88945,1.89005,0.00802,0.00802,0.00802
42,2558.89,1.59785,0.94324,1.60855,0.90917,0.79366,0.87074,0.48556,1.55704,0.90536,1.89482,0.0079705,0.0079705,0.0079705
43,2618.49,1.58452,0.92596,1.59164,0.91235,0.79619,0.86969,0.48615,1.5561,0.90478,1.89651,0.007921,0.007921,0.007921
44,2677.54,1.59381,0.93582,1.60381,0.91115,0.78596,0.8707,0.4832,1.5711,0.91093,1.90796,0.0078715,0.0078715,0.0078715
45,2738.22,1.59417,0.93197,1.60552,0.92137,0.78764,0.87251,0.48329,1.57913,0.89825,1.91463,0.007822,0.007822,0.007822
46,2799.82,1.59614,0.93057,1.60449,0.89737,0.79981,0.86963,0.48721,1.55055,0.9156,1.88974,0.0077725,0.0077725,0.0077725
47,2860.14,1.5816,0.92663,1.59235,0.90839,0.79583,0.86881,0.4825,1.56611,0.9145,1.90611,0.007723,0.007723,0.007723
48,2918.32,1.58065,0.92685,1.60217,0.90648,0.79547,0.87244,0.48496,1.56734,0.89234,1.90613,0.0076735,0.0076735,0.0076735
49,2978.03,1.57664,0.91993,1.5909,0.90559,0.79955,0.87276,0.47842,1.59133,0.89481,1.92165,0.007624,0.007624,0.007624
50,3038.13,1.57919,0.90725,1.58725,0.90955,0.80424,0.87487,0.48125,1.58541,0.88079,1.91756,0.0075745,0.0075745,0.0075745
51,3098.35,1.57552,0.90968,1.59434,0.90493,0.80499,0.87612,0.48478,1.57508,0.87887,1.91252,0.007525,0.007525,0.007525
52,3158.17,1.57167,0.90482,1.58405,0.91115,0.81282,0.87904,0.48748,1.56829,0.87596,1.90674,0.0074755,0.0074755,0.0074755
53,3218.23,1.56968,0.89949,1.58144,0.90427,0.81197,0.87914,0.49136,1.55285,0.8754,1.89099,0.007426,0.007426,0.007426
54,3278.39,1.56741,0.89982,1.58924,0.89824,0.80282,0.87349,0.48501,1.579,0.87565,1.91622,0.0073765,0.0073765,0.0073765
55,3338.81,1.56866,0.89341,1.58479,0.89492,0.80149,0.87105,0.48142,1.59269,0.88744,1.92789,0.007327,0.007327,0.007327
56,3397.38,1.57022,0.89444,1.58132,0.88936,0.80619,0.87462,0.487,1.57109,0.88511,1.90793,0.0072775,0.0072775,0.0072775
57,3455.84,1.5636,0.89894,1.57655,0.90444,0.80487,0.87939,0.49037,1.5597,0.86689,1.89806,0.007228,0.007228,0.007228
58,3517.23,1.5634,0.8887,1.57929,0.90171,0.81659,0.88457,0.4952,1.54333,0.84901,1.88365,0.0071785,0.0071785,0.0071785
59,3578.1,1.5574,0.88549,1.57089,0.89555,0.82197,0.88535,0.49605,1.5417,0.84509,1.88352,0.007129,0.007129,0.007129
60,3641.33,1.55472,0.88375,1.58242,0.88903,0.81029,0.87947,0.49002,1.5571,0.8558,1.8967,0.0070795,0.0070795,0.0070795
61,3700.81,1.5588,0.88272,1.58083,0.89512,0.8121,0.88101,0.49117,1.55171,0.85354,1.89075,0.00703,0.00703,0.00703
62,3762.47,1.54387,0.8768,1.57285,0.89483,0.81169,0.88098,0.49107,1.55163,0.84946,1.89126,0.0069805,0.0069805,0.0069805
63,3821.37,1.55156,0.87669,1.57118,0.8872,0.81188,0.87995,0.49221,1.54554,0.85282,1.88659,0.006931,0.006931,0.006931
64,3880.32,1.54428,0.87493,1.56052,0.88816,0.80728,0.87959,0.49111,1.55124,0.85758,1.8916,0.0068815,0.0068815,0.0068815
65,3941.88,1.54252,0.8697,1.56186,0.88888,0.81037,0.87934,0.48854,1.56275,0.86021,1.90422,0.006832,0.006832,0.006832
66,4002.3,1.5552,0.8705,1.57027,0.88466,0.80679,0.87924,0.48873,1.56109,0.86536,1.90237,0.0067825,0.0067825,0.0067825
67,4061.49,1.54719,0.87515,1.57687,0.8871,0.80005,0.87734,0.48714,1.56289,0.86865,1.90293,0.006733,0.006733,0.006733
68,4120.36,1.53729,0.8631,1.57059,0.88455,0.79234,0.87525,0.48875,1.55399,0.87697,1.89537,0.0066835,0.0066835,0.0066835
69,4180.84,1.53316,0.85457,1.54784,0.88876,0.79415,0.87645,0.49099,1.54857,0.87543,1.89035,0.006634,0.006634,0.006634
70,4240.47,1.53628,0.8561,1.55077,0.87893,0.79224,0.87411,0.49032,1.54887,0.87841,1.89077,0.0065845,0.0065845,0.0065845
71,4302.48,1.53038,0.85799,1.56203,0.89298,0.78969,0.87538,0.49021,1.55453,0.86809,1.89504,0.006535,0.006535,0.006535
